series_id,tag
EQFXSUBPRIME001001,population
EQFXSUBPRIME001003,population
EQFXSUBPRIME001005,population
EQFXSUBPRIME001007,population
EQFXSUBPRIME001009,population
EQFXSUBPRIME001011,population
EQFXSUBPRIME001013,population
EQFXSUBPRIME001015,population
EQFXSUBPRIME001017,population
EQFXSUBPRIME001019,population
EQFXSUBPRIME001021,population
EQFXSUBPRIME001023,population
EQFXSUBPRIME001025,population
EQFXSUBPRIME001027,population
EQFXSUBPRIME001029,population
EQFXSUBPRIME001031,population
EQFXSUBPRIME001033,population
EQFXSUBPRIME001035,population
EQFXSUBPRIME001037,population
EQFXSUBPRIME001039,population
EQFXSUBPRIME001041,population
EQFXSUBPRIME001043,population
EQFXSUBPRIME001045,population
EQFXSUBPRIME001047,population
EQFXSUBPRIME001049,population
EQFXSUBPRIME001051,population
EQFXSUBPRIME001053,population
EQFXSUBPRIME001055,population
EQFXSUBPRIME001057,population
EQFXSUBPRIME001059,population
EQFXSUBPRIME001061,population
EQFXSUBPRIME001063,population
EQFXSUBPRIME001065,population
EQFXSUBPRIME001067,population
EQFXSUBPRIME001069,population
EQFXSUBPRIME001071,population
EQFXSUBPRIME001073,population
EQFXSUBPRIME001075,population
EQFXSUBPRIME001077,population
EQFXSUBPRIME001079,population
EQFXSUBPRIME001081,population
EQFXSUBPRIME001083,population
EQFXSUBPRIME001085,population
EQFXSUBPRIME001087,population
EQFXSUBPRIME001089,population
EQFXSUBPRIME001091,population
EQFXSUBPRIME001093,population
EQFXSUBPRIME001095,population
EQFXSUBPRIME001097,population
EQFXSUBPRIME001099,population
EQFXSUBPRIME001101,population
EQFXSUBPRIME001103,population
EQFXSUBPRIME001105,population
EQFXSUBPRIME001107,population
EQFXSUBPRIME001109,population
EQFXSUBPRIME001111,population
EQFXSUBPRIME001113,population
EQFXSUBPRIME001115,population
EQFXSUBPRIME001117,population
EQFXSUBPRIME001119,population
EQFXSUBPRIME001121,population
EQFXSUBPRIME001123,population
EQFXSUBPRIME001125,population
EQFXSUBPRIME001127,population
EQFXSUBPRIME001129,population
EQFXSUBPRIME001131,population
EQFXSUBPRIME001133,population
EQFXSUBPRIME002013,population
EQFXSUBPRIME002016,population
EQFXSUBPRIME002020,population
EQFXSUBPRIME002050,population
EQFXSUBPRIME002060,population
EQFXSUBPRIME002068,population
EQFXSUBPRIME002070,population
EQFXSUBPRIME002090,population
EQFXSUBPRIME002100,population
EQFXSUBPRIME002105,population
EQFXSUBPRIME002110,population
EQFXSUBPRIME002122,population
EQFXSUBPRIME002130,population
EQFXSUBPRIME002150,population
EQFXSUBPRIME002164,population
EQFXSUBPRIME002170,population
EQFXSUBPRIME002180,population
EQFXSUBPRIME002185,population
EQFXSUBPRIME002188,population
EQFXSUBPRIME002195,population
EQFXSUBPRIME002198,population
EQFXSUBPRIME002220,population
EQFXSUBPRIME002230,population
EQFXSUBPRIME002240,population
EQFXSUBPRIME002261,population
EQFXSUBPRIME002270,population
EQFXSUBPRIME002275,population
EQFXSUBPRIME002282,population
EQFXSUBPRIME002290,population
EQFXSUBPRIME004001,population
EQFXSUBPRIME004003,population
EQFXSUBPRIME004005,population
EQFXSUBPRIME004007,population
EQFXSUBPRIME004009,population
EQFXSUBPRIME004011,population
EQFXSUBPRIME004012,population
EQFXSUBPRIME004013,population
EQFXSUBPRIME004015,population
EQFXSUBPRIME004017,population
EQFXSUBPRIME004019,population
EQFXSUBPRIME004021,population
EQFXSUBPRIME004023,population
EQFXSUBPRIME004025,population
EQFXSUBPRIME004027,population
EQFXSUBPRIME005001,population
EQFXSUBPRIME005003,population
EQFXSUBPRIME005005,population
EQFXSUBPRIME005007,population
EQFXSUBPRIME005009,population
EQFXSUBPRIME005011,population
EQFXSUBPRIME005013,population
EQFXSUBPRIME005015,population
EQFXSUBPRIME005017,population
EQFXSUBPRIME005019,population
EQFXSUBPRIME005021,population
EQFXSUBPRIME005023,population
EQFXSUBPRIME005025,population
EQFXSUBPRIME005027,population
EQFXSUBPRIME005029,population
EQFXSUBPRIME005031,population
EQFXSUBPRIME005033,population
EQFXSUBPRIME005035,population
EQFXSUBPRIME005037,population
EQFXSUBPRIME005039,population
EQFXSUBPRIME005041,population
EQFXSUBPRIME005043,population
EQFXSUBPRIME005045,population
EQFXSUBPRIME005047,population
EQFXSUBPRIME005049,population
EQFXSUBPRIME005051,population
EQFXSUBPRIME005053,population
EQFXSUBPRIME005055,population
EQFXSUBPRIME005057,population
EQFXSUBPRIME005059,population
EQFXSUBPRIME005061,population
EQFXSUBPRIME005063,population
EQFXSUBPRIME005065,population
EQFXSUBPRIME005067,population
EQFXSUBPRIME005069,population
EQFXSUBPRIME005071,population
EQFXSUBPRIME005073,population
EQFXSUBPRIME005075,population
EQFXSUBPRIME005077,population
EQFXSUBPRIME005079,population
EQFXSUBPRIME005081,population
EQFXSUBPRIME005083,population
EQFXSUBPRIME005085,population
EQFXSUBPRIME005087,population
EQFXSUBPRIME005089,population
EQFXSUBPRIME005091,population
EQFXSUBPRIME005093,population
EQFXSUBPRIME005095,population
EQFXSUBPRIME005097,population
EQFXSUBPRIME005099,population
EQFXSUBPRIME005101,population
EQFXSUBPRIME005103,population
EQFXSUBPRIME005105,population
EQFXSUBPRIME005107,population
EQFXSUBPRIME005109,population
EQFXSUBPRIME005111,population
EQFXSUBPRIME005113,population
EQFXSUBPRIME005115,population
EQFXSUBPRIME005117,population
EQFXSUBPRIME005119,population
EQFXSUBPRIME005121,population
EQFXSUBPRIME005123,population
EQFXSUBPRIME005125,population
EQFXSUBPRIME005127,population
EQFXSUBPRIME005129,population
EQFXSUBPRIME005131,population
EQFXSUBPRIME005133,population
