series_id	title	season	frequency	units	keywords	notes	period_description	growth_rates	obs_vsd_use_release_date	valid_start_date	release_id
EQFXSUBPRIME001001	Equifax Subprime Credit Population for Autauga County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001101	Equifax Subprime Credit Population for Montgomery County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001103	Equifax Subprime Credit Population for Morgan County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001105	Equifax Subprime Credit Population for Perry County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001107	Equifax Subprime Credit Population for Pickens County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001109	Equifax Subprime Credit Population for Pike County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001011	Equifax Subprime Credit Population for Bullock County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001111	Equifax Subprime Credit Population for Randolph County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001113	Equifax Subprime Credit Population for Russell County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001115	Equifax Subprime Credit Population for St. Clair County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001117	Equifax Subprime Credit Population for Shelby County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001119	Equifax Subprime Credit Population for Sumter County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001121	Equifax Subprime Credit Population for Talladega County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001123	Equifax Subprime Credit Population for Tallapoosa County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001125	Equifax Subprime Credit Population for Tuscaloosa County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001127	Equifax Subprime Credit Population for Walker County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001129	Equifax Subprime Credit Population for Washington County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
EQFXSUBPRIME001013	Equifax Subprime Credit Population for Butler County, AL	Not Seasonally Adjusted	Quarterly	Percent		Percentage of population sample with a credit score below 660. Counties with fewer than 20 people in the sample are not reported for privacy reasons.		TRUE	TRUE	2017-01-27	409
