ctyname,geoid,pct_below660_156,pct_below660_157,pct_below660_158,pct_below660_159,pct_below660_160,pct_below660_161,pct_below660_162,pct_below660_163,pct_below660_164,pct_below660_165,pct_below660_166,pct_below660_167,pct_below660_168,pct_below660_169,pct_below660_170,pct_below660_171,pct_below660_172,pct_below660_173,pct_below660_174,pct_below660_175,pct_below660_176,pct_below660_177,pct_below660_178,pct_below660_179,pct_below660_180,pct_below660_181,pct_below660_182,pct_below660_183,pct_below660_184,pct_below660_185,pct_below660_186,pct_below660_187,pct_below660_188,pct_below660_189,pct_below660_190,pct_below660_191,pct_below660_192,pct_below660_193,pct_below660_194,pct_below660_195,pct_below660_196,pct_below660_197,pct_below660_198,pct_below660_199,pct_below660_200,pct_below660_201,pct_below660_202,pct_below660_203,pct_below660_204,pct_below660_205,pct_below660_206,pct_below660_207,pct_below660_208,pct_below660_209,pct_below660_210,pct_below660_211,pct_below660_212,pct_below660_213,pct_below660_214,pct_below660_215,pct_below660_216,pct_below660_217,pct_below660_218,pct_below660_219,pct_below660_220,pct_below660_221,pct_below660_222,pct_below660_223,pct_below660_224,pct_below660_225
Autauga County,1001,0.397612482,0.40828678,0.394316584,0.403901041,0.408318013,0.400498062,0.400797814,0.383932084,0.384331971,0.388129562,0.389267772,0.396895796,0.400545418,0.399156123,0.397871256,0.406036824,0.409083068,0.40115872,0.412967503,0.415869147,0.413734198,0.414915591,0.410714298,0.410221457,0.389316499,0.369983077,0.376987129,0.378463387,0.378264785,0.380752474,0.381959558,0.380182147,0.380510062,0.371820569,0.374097317,0.383047551,0.396942705,0.400368392,0.398727983,0.403566718,0.398256779,0.397845834,0.393909127,0.400169492,0.395615518,0.391997278,0.385608852,0.389990091,0.384207904,0.383105099,0.382660687,0.385287821,0.380526572,0.376276761,0.372397959,0.381266057,0.36993587,0.371040016,0.370370358,0.370932758,0.360582471,0.353958935,0.357949615,0.363544971,0.356101751,0.35750708,0.364813507,0.371620685,0.357897639,0.352530777
Baldwin County,1003,0.369176835,0.366407007,0.358614028,0.367241979,0.366008133,0.360610366,0.369272739,0.347884595,0.345870674,0.348749727,0.34972167,0.347549021,0.344834805,0.342974126,0.340882391,0.341299981,0.345827967,0.344899058,0.34697175,0.351370037,0.352011025,0.349866807,0.34982869,0.344705582,0.336461008,0.333779097,0.337432444,0.331698626,0.329512894,0.330650181,0.334900677,0.331804574,0.330385774,0.324239999,0.325258374,0.329655707,0.338211477,0.342786431,0.342366457,0.342355311,0.345165461,0.349842668,0.34842822,0.356899291,0.35450238,0.3527897,0.350767642,0.355942398,0.350269973,0.349498868,0.350751072,0.3560929,0.354084045,0.353005886,0.356060594,0.356241852,0.345927209,0.342345327,0.341976672,0.343026638,0.336931884,0.329698086,0.328168482,0.331847638,0.328028321,0.321374983,0.321207047,0.31958726,0.315429688,0.308931708
Barbour County,1005,0.421686739,0.42533794,0.413133562,0.424798697,0.430265218,0.428394288,0.440110564,0.433756262,0.432163745,0.426215768,0.444543839,0.452360004,0.465074629,0.455978572,0.455973923,0.448902994,0.457845777,0.452579558,0.457036108,0.46537137,0.467895538,0.462081671,0.457906187,0.443619758,0.431477517,0.430232555,0.435801804,0.428118408,0.420170307,0.423821986,0.425141633,0.41577825,0.420777082,0.419032156,0.425265461,0.422571421,0.479698747,0.474243939,0.460569918,0.462201595,0.479414761,0.481366456,0.481944442,0.48044306,0.481481493,0.47991392,0.465415746,0.468830675,0.468117028,0.475839168,0.483609587,0.482527882,0.484972179,0.477819562,0.476138026,0.474935979,0.463752657,0.454000711,0.44074437,0.431929469,0.42749837,0.429231286,0.431495547,0.42604503,0.420204014,0.419029623,0.427106708,0.407682776,0.418665797,0.411517322
Bibb County,1007,0.417262644,0.419448853,0.401812702,0.397141993,0.393101305,0.393815845,0.387326449,0.364640892,0.368513942,0.359741598,0.354377389,0.35113439,0.373176813,0.370242208,0.369793445,0.373310804,0.374380738,0.370708555,0.382470131,0.394440264,0.396204948,0.398590446,0.408104777,0.401141465,0.403946847,0.402261704,0.403130293,0.407791138,0.409991741,0.404732257,0.401499361,0.407883823,0.4057239,0.399181992,0.406093478,0.434724689,0.462007493,0.457917273,0.442316681,0.451318949,0.45351696,0.446313709,0.436363637,0.4476946,0.43607533,0.435305923,0.429287851,0.440832913,0.433042586,0.427760571,0.43610549,0.439309299,0.428349704,0.4175767,0.422880501,0.421583474,0.414767087,0.409203351,0.40314135,0.399056613,0.39470014,0.382608682,0.390716553,0.383689851,0.385439932,0.374392927,0.376277208,0.381826133,0.376146793,0.372243851
Blount County,1009,0.36088711,0.354700863,0.340469211,0.348739505,0.351032436,0.342363119,0.351707458,0.336821616,0.352842808,0.340201467,0.34668991,0.352826923,0.363389134,0.359037638,0.361037374,0.365356624,0.366922915,0.361568958,0.366402656,0.366918564,0.371285051,0.370873392,0.3644647,0.360446244,0.360317469,0.355976105,0.360529423,0.365495324,0.361277431,0.363197088,0.362270772,0.36513871,0.364050746,0.356443256,0.364408404,0.37233001,0.375751495,0.37686187,0.36705786,0.370241493,0.371900827,0.370271385,0.365938336,0.360033542,0.361702114,0.360878646,0.357677907,0.356845617,0.358602375,0.353207231,0.356640458,0.364742279,0.359368593,0.360715747,0.356409729,0.3567698,0.351147979,0.346183062,0.341032118,0.341722786,0.337080628,0.330898583,0.333389461,0.333444268,0.328979999,0.322056174,0.328185946,0.327572286,0.319833517,0.312398583
Bullock County,1011,0.504888535,0.507001638,0.494137347,0.501496375,0.491871625,0.484451711,0.489304811,0.455134124,0.448115647,0.419303805,0.418274701,0.419928819,0.420798063,0.421875,0.426165789,0.439302474,0.445809245,0.437547326,0.449059576,0.46003136,0.470261693,0.47866109,0.473099917,0.465073526,0.439473689,0.435100555,0.447577089,0.445672184,0.455660373,0.46938777,0.479408652,0.45714286,0.459095269,0.467559218,0.482102901,0.493857503,0.51596427,0.526041687,0.510638297,0.51472652,0.516620517,0.507122517,0.493598849,0.493562222,0.492753625,0.515759289,0.519607842,0.507586181,0.50641942,0.507982612,0.520467818,0.546546519,0.54260087,0.540983617,0.532656014,0.544159532,0.518776059,0.516260147,0.495098025,0.488066822,0.466824651,0.476525813,0.488622755,0.487442911,0.493317127,0.462484628,0.470158339,0.459826946,0.43617022,0.426229507
Butler County,1013,0.447984397,0.46022597,0.457565546,0.461605579,0.436564922,0.424223781,0.434193552,0.409804553,0.411764711,0.397505045,0.406394303,0.395331591,0.418106675,0.425246537,0.421940923,0.416273594,0.423694789,0.423631132,0.415282398,0.422658861,0.430432945,0.431116909,0.422172964,0.41903916,0.40660736,0.417479843,0.408786625,0.412499994,0.414531708,0.408401906,0.412411958,0.414805084,0.41444695,0.402422607,0.410891086,0.414104879,0.442126185,0.429308563,0.425944835,0.441473246,0.440816313,0.437661678,0.439650744,0.457249075,0.462614298,0.46227929,0.448494464,0.451989383,0.461018711,0.453933746,0.439242512,0.452631593,0.451596022,0.439600855,0.439393938,0.442367613,0.434136331,0.421345472,0.425708711,0.430581599,0.413793117,0.409677416,0.423076928,0.443061322,0.441030264,0.424888879,0.423545331,0.415906131,0.433256358,0.42400372
Calhoun County,1015,0.430413306,0.432947695,0.41772911,0.418361068,0.428060919,0.425481498,0.433417261,0.416136712,0.412328064,0.404249966,0.405591309,0.409079432,0.412453055,0.406875014,0.406903952,0.412032872,0.416524917,0.414851487,0.415343046,0.41738382,0.41803658,0.417875677,0.412418216,0.413839072,0.409040421,0.400180668,0.403152853,0.407712072,0.405110657,0.400539547,0.397657454,0.396266103,0.395324618,0.385874808,0.391559273,0.398805618,0.412648052,0.416757256,0.412554115,0.416888624,0.414891273,0.411764711,0.411980718,0.41553244,0.404049993,0.398045421,0.397096366,0.407294601,0.401918054,0.404701442,0.407172531,0.411372453,0.405649394,0.401356071,0.403232813,0.404325038,0.394356221,0.383228958,0.383112133,0.379700243,0.3710289,0.366616011,0.367875636,0.376871705,0.373595864,0.369810581,0.373461992,0.37642312,0.373008609,0.370087475
Chambers County,1017,0.468419373,0.47553122,0.466754019,0.479314804,0.482869029,0.473277718,0.485989243,0.458509505,0.461497605,0.458699018,0.466375768,0.467255712,0.48036176,0.467834741,0.471570164,0.469003409,0.472894728,0.468186647,0.471432358,0.478202373,0.48022753,0.475971907,0.487493217,0.479594499,0.47189638,0.46807465,0.474349439,0.472681701,0.469248295,0.474102557,0.479846925,0.466928095,0.472382963,0.458099127,0.461221337,0.468651205,0.474238217,0.467869222,0.471979737,0.467463851,0.465734273,0.472691447,0.460537255,0.467333883,0.472144842,0.476724625,0.482113361,0.483109027,0.467887402,0.461332619,0.466485739,0.46437484,0.463279963,0.459862083,0.458321959,0.460048437,0.444619834,0.439523429,0.449415863,0.44452554,0.438186169,0.432811022,0.431377232,0.430668831,0.434372038,0.426700354,0.423913032,0.426233232,0.424413353,0.422356099
Cherokee County,1019,0.343381852,0.342790514,0.332786888,0.345936537,0.340531558,0.341998369,0.346798778,0.313764513,0.332108259,0.317144722,0.325933069,0.33893919,0.352294773,0.345609069,0.349984199,0.344976813,0.350031495,0.341609061,0.339455366,0.352960199,0.351128072,0.346265763,0.339163035,0.325797468,0.321023554,0.319698274,0.330085635,0.330920666,0.324066043,0.326465458,0.332356393,0.325816035,0.328358203,0.326125592,0.332349479,0.328451872,0.341317356,0.344086021,0.343879819,0.34901461,0.348314613,0.345886081,0.344251961,0.351222605,0.349428207,0.349151462,0.353812218,0.356630266,0.353378803,0.347853154,0.351428568,0.349474341,0.353577107,0.356544167,0.355492234,0.358585864,0.342963666,0.322043806,0.330257267,0.324248374,0.317762226,0.316782236,0.327457994,0.32945317,0.328737497,0.328414261,0.329527348,0.340057641,0.338526547,0.337184876
Chilton County,1021,0.433426768,0.434035093,0.414084494,0.412964314,0.41583094,0.417972833,0.431669056,0.415346801,0.426327586,0.419202656,0.423630446,0.425934255,0.441835195,0.434962898,0.440069616,0.436104625,0.428197861,0.418937325,0.419073194,0.423883915,0.422305495,0.419541508,0.423597693,0.416788161,0.40343684,0.398502171,0.408450693,0.414094359,0.40284273,0.410757959,0.415313661,0.414710194,0.409189969,0.403251171,0.404363006,0.412620485,0.439324737,0.432169765,0.43318063,0.429085821,0.432657212,0.435294122,0.431003749,0.438059986,0.433418304,0.434706569,0.438751936,0.4368653,0.435413927,0.431535274,0.42797336,0.436638594,0.441404045,0.436166227,0.43421784,0.430888325,0.41258496,0.40331769,0.399772018,0.39996767,0.386020154,0.389445662,0.388510376,0.396461248,0.39368546,0.388346612,0.386291891,0.393213272,0.392835915,0.392080396
Choctaw County,1023,0.503585935,0.495492369,0.48925361,0.487944424,0.497605562,0.494591087,0.492643774,0.482046664,0.476808906,0.43589744,0.447247714,0.444903582,0.462825269,0.453237414,0.45318532,0.441526264,0.457069397,0.450502902,0.456705391,0.454838723,0.450907141,0.462414593,0.466254205,0.464085311,0.449469566,0.431768566,0.442307681,0.445146471,0.449250281,0.458333343,0.459101379,0.455180436,0.444910169,0.433727801,0.430395126,0.439820737,0.452036798,0.448228896,0.442371756,0.444074571,0.447612733,0.44266668,0.447105795,0.44767049,0.44062078,0.425357878,0.432244629,0.439721256,0.443037987,0.434511423,0.433948874,0.438608944,0.429187626,0.427741468,0.433596551,0.44679299,0.439164877,0.418956041,0.426392585,0.435309112,0.422932327,0.426219136,0.441952497,0.441195577,0.43617022,0.432058036,0.425863236,0.4224599,0.414535671,0.416098237
Clarke County,1025,0.452458411,0.45126158,0.442332774,0.447496593,0.444615692,0.438589543,0.446545899,0.433024943,0.427759051,0.409554154,0.410286248,0.400146306,0.424265832,0.415866047,0.41483745,0.422936052,0.435147643,0.429289937,0.435640544,0.453271031,0.457115918,0.464309096,0.463150769,0.453328878,0.437046796,0.429489344,0.429539293,0.427950531,0.427217335,0.429415852,0.424601823,0.413102508,0.418201119,0.41678521,0.422080219,0.422623426,0.43074581,0.434490919,0.436028272,0.431926757,0.446543396,0.435093284,0.427135676,0.435776204,0.432895273,0.428456277,0.434306562,0.428851426,0.415610135,0.413557976,0.419672132,0.429457992,0.41168943,0.407695621,0.40811044,0.41246292,0.402766466,0.401129931,0.411145747,0.399144977,0.396343827,0.391748667,0.392281741,0.397693455,0.393763602,0.388669789,0.396706045,0.401208252,0.394048035,0.390413463
Clay County,1027,0.391456991,0.39228487,0.37237978,0.382296354,0.384759516,0.35615617,0.371394217,0.355855852,0.360120833,0.353955984,0.36738351,0.373063177,0.394357741,0.386594862,0.392557025,0.38141951,0.394357741,0.38390094,0.384567887,0.381281406,0.414396882,0.414120853,0.420731694,0.413245022,0.402095616,0.415478617,0.407967031,0.401697308,0.397240371,0.389705896,0.408460975,0.404619962,0.41092813,0.399103135,0.403053433,0.415765077,0.412598431,0.418679535,0.416006327,0.427899688,0.419070512,0.416326523,0.411138415,0.431132853,0.442165703,0.438118815,0.430252105,0.415204674,0.416803956,0.435000002,0.43024227,0.426632732,0.424242437,0.408006817,0.407758623,0.424610049,0.407064766,0.40113914,0.402467221,0.404926866,0.400618702,0.39176029,0.407132238,0.404692084,0.402205884,0.393873096,0.390386015,0.383947939,0.384336472,0.375901878
Cleburne County,1029,0.369164616,0.366099566,0.344805181,0.366533875,0.362251669,0.35812673,0.377577305,0.368171036,0.372791529,0.362644017,0.373035073,0.390435845,0.388722241,0.390756309,0.381742746,0.382035255,0.380530983,0.38769415,0.390348196,0.395247042,0.389756411,0.392258078,0.390745491,0.399333328,0.391979307,0.389460146,0.393746018,0.392523378,0.379804552,0.372005045,0.373591989,0.386565268,0.380497128,0.379224032,0.380750597,0.383044541,0.402260631,0.399864227,0.396161765,0.404255331,0.398037851,0.38904494,0.396868616,0.406077355,0.409315467,0.409589052,0.40654844,0.400394469,0.400394469,0.405088067,0.398039222,0.394459099,0.394925177,0.393485337,0.386527151,0.373202622,0.366972476,0.363636374,0.360195369,0.35864979,0.34991014,0.353183955,0.347368419,0.355951697,0.349028826,0.338857144,0.333333343,0.333526015,0.332939774,0.333333343
