series_id,tag
FBITC001009,violent crime
FBITC012073,violent crime
FBITC019043,violent crime
FBITC020067,violent crime
FBITC022053,violent crime
FBITC029189,violent crime
FBITC031047,violent crime
FBITC048181,violent crime
FBITC048203,violent crime
FBITC048239,violent crime
FBITC048263,violent crime
FBITC048289,violent crime
FBITC048395,violent crime
FBITC051019,violent crime
FBITC051059,violent crime
FBITC051067,violent crime
FBITC051159,violent crime
FBITC051161,violent crime
FBITC001009,property crime
FBITC012073,property crime
FBITC019043,property crime
FBITC020067,property crime
FBITC022053,property crime
FBITC029189,property crime
FBITC031047,property crime
FBITC048181,property crime
FBITC048203,property crime
FBITC048239,property crime
FBITC048263,property crime
FBITC048289,property crime
FBITC048395,property crime
FBITC051019,property crime
FBITC051059,property crime
FBITC051067,property crime
FBITC051159,property crime
FBITC051161,property crime
FBITC001009,crime
FBITC012073,crime
FBITC019043,crime
FBITC020067,crime
FBITC022053,crime
FBITC029189,crime
FBITC031047,crime
FBITC048181,crime
FBITC048203,crime
FBITC048239,crime
FBITC048263,crime
FBITC048289,crime
FBITC048395,crime
FBITC051019,crime
FBITC051059,crime
FBITC051067,crime
FBITC051159,crime
FBITC051161,crime
FBITC001009,federal bureau of investigation
FBITC012073,federal bureau of investigation
FBITC019043,federal bureau of investigation
FBITC020067,federal bureau of investigation
FBITC022053,federal bureau of investigation
FBITC029189,federal bureau of investigation
FBITC031047,federal bureau of investigation
FBITC048181,federal bureau of investigation
FBITC048203,federal bureau of investigation
FBITC048239,federal bureau of investigation
FBITC048263,federal bureau of investigation
FBITC048289,federal bureau of investigation
FBITC048395,federal bureau of investigation
FBITC051019,federal bureau of investigation
FBITC051059,federal bureau of investigation
FBITC051067,federal bureau of investigation
FBITC051159,federal bureau of investigation
FBITC051161,federal bureau of investigation
FBITC001009,prosperity scorecard
FBITC012073,prosperity scorecard
FBITC019043,prosperity scorecard
FBITC020067,prosperity scorecard
FBITC022053,prosperity scorecard
FBITC029189,prosperity scorecard
FBITC031047,prosperity scorecard
FBITC048181,prosperity scorecard
FBITC048203,prosperity scorecard
FBITC048239,prosperity scorecard
FBITC048263,prosperity scorecard
FBITC048289,prosperity scorecard
FBITC048395,prosperity scorecard
FBITC051019,prosperity scorecard
FBITC051059,prosperity scorecard
FBITC051067,prosperity scorecard
FBITC051159,prosperity scorecard
FBITC051161,prosperity scorecard
