series_id,tag
FBITC021053,violent crime
FBITC021055,violent crime
FBITC021057,violent crime
FBITC021059,violent crime
FBITC021061,violent crime
FBITC021063,violent crime
FBITC021065,violent crime
FBITC021069,violent crime
FBITC021071,violent crime
FBITC021073,violent crime
FBITC021075,violent crime
FBITC021077,violent crime
FBITC021079,violent crime
FBITC021081,violent crime
FBITC021083,violent crime
FBITC021085,violent crime
FBITC021087,violent crime
FBITC021089,violent crime
FBITC021091,violent crime
FBITC021093,violent crime
FBITC021095,violent crime
FBITC021097,violent crime
FBITC021099,violent crime
FBITC021101,violent crime
FBITC001001,violent crime
FBITC001003,violent crime
FBITC001005,violent crime
FBITC001007,violent crime
FBITC001011,violent crime
FBITC001013,violent crime
FBITC001015,violent crime
FBITC001017,violent crime
FBITC001019,violent crime
FBITC001021,violent crime
FBITC001023,violent crime
FBITC001025,violent crime
FBITC001027,violent crime
FBITC001029,violent crime
FBITC001031,violent crime
FBITC001033,violent crime
FBITC001035,violent crime
FBITC001037,violent crime
FBITC001039,violent crime
FBITC001041,violent crime
FBITC001043,violent crime
FBITC001045,violent crime
FBITC001047,violent crime
FBITC001049,violent crime
FBITC001051,violent crime
FBITC001053,violent crime
FBITC001055,violent crime
FBITC001057,violent crime
FBITC001059,violent crime
FBITC001061,violent crime
FBITC001063,violent crime
FBITC001065,violent crime
FBITC001067,violent crime
FBITC001069,violent crime
FBITC001071,violent crime
FBITC001073,violent crime
FBITC001075,violent crime
FBITC001077,violent crime
FBITC001079,violent crime
FBITC001081,violent crime
FBITC001083,violent crime
FBITC001085,violent crime
FBITC001087,violent crime
FBITC001089,violent crime
FBITC001091,violent crime
FBITC001093,violent crime
FBITC001095,violent crime
FBITC001097,violent crime
FBITC001099,violent crime
FBITC001101,violent crime
FBITC001103,violent crime
FBITC001105,violent crime
FBITC001107,violent crime
FBITC001109,violent crime
FBITC001111,violent crime
FBITC001113,violent crime
FBITC001115,violent crime
FBITC001117,violent crime
FBITC001119,violent crime
FBITC001121,violent crime
FBITC001123,violent crime
FBITC001125,violent crime
FBITC001127,violent crime
FBITC001129,violent crime
FBITC001131,violent crime
FBITC001133,violent crime
FBITC004001,violent crime
FBITC004003,violent crime
FBITC004005,violent crime
FBITC004007,violent crime
FBITC004009,violent crime
FBITC004011,violent crime
FBITC004012,violent crime
FBITC004013,violent crime
FBITC004015,violent crime
FBITC004017,violent crime
FBITC004019,violent crime
FBITC004021,violent crime
FBITC004023,violent crime
FBITC004025,violent crime
FBITC004027,violent crime
FBITC005001,violent crime
FBITC005003,violent crime
FBITC005005,violent crime
FBITC005007,violent crime
FBITC005009,violent crime
FBITC005011,violent crime
FBITC005013,violent crime
FBITC005015,violent crime
FBITC005017,violent crime
FBITC005019,violent crime
FBITC005021,violent crime
FBITC005023,violent crime
FBITC005025,violent crime
FBITC005027,violent crime
FBITC005029,violent crime
FBITC005031,violent crime
FBITC005033,violent crime
FBITC005035,violent crime
FBITC005037,violent crime
FBITC005039,violent crime
FBITC005043,violent crime
FBITC005045,violent crime
FBITC005047,violent crime
FBITC005049,violent crime
FBITC005051,violent crime
FBITC005053,violent crime
FBITC005055,violent crime
FBITC005057,violent crime
FBITC005059,violent crime
FBITC005061,violent crime
FBITC005063,violent crime
FBITC005065,violent crime
FBITC005067,violent crime
FBITC005069,violent crime
FBITC005071,violent crime
FBITC005073,violent crime
FBITC005075,violent crime
FBITC005077,violent crime
FBITC005079,violent crime
FBITC005081,violent crime
FBITC005083,violent crime
FBITC005085,violent crime
FBITC005087,violent crime
FBITC005089,violent crime
FBITC005091,violent crime
FBITC005093,violent crime
FBITC005095,violent crime
FBITC005097,violent crime
FBITC005099,violent crime
FBITC005101,violent crime
FBITC005103,violent crime
FBITC005105,violent crime
FBITC005109,violent crime
