series_id	title	season	frequency	units	keywords	notes	period_description	growth_rates	obs_vsd_use_release_date	valid_start_date	release_id
FBITC001001	Combined Violent and Property Crime Incidents Known to Law Enforcement in Autauga County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001003	Combined Violent and Property Crime Incidents Known to Law Enforcement in Baldwin County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001005	Combined Violent and Property Crime Incidents Known to Law Enforcement in Barbour County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001007	Combined Violent and Property Crime Incidents Known to Law Enforcement in Bibb County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001011	Combined Violent and Property Crime Incidents Known to Law Enforcement in Bullock County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001013	Combined Violent and Property Crime Incidents Known to Law Enforcement in Butler County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001015	Combined Violent and Property Crime Incidents Known to Law Enforcement in Calhoun County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001017	Combined Violent and Property Crime Incidents Known to Law Enforcement in Chambers County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001019	Combined Violent and Property Crime Incidents Known to Law Enforcement in Cherokee County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001021	Combined Violent and Property Crime Incidents Known to Law Enforcement in Chilton County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001023	Combined Violent and Property Crime Incidents Known to Law Enforcement in Choctaw County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001025	Combined Violent and Property Crime Incidents Known to Law Enforcement in Clarke County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001027	Combined Violent and Property Crime Incidents Known to Law Enforcement in Clay County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001029	Combined Violent and Property Crime Incidents Known to Law Enforcement in Cleburne County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001031	Combined Violent and Property Crime Incidents Known to Law Enforcement in Coffee County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001033	Combined Violent and Property Crime Incidents Known to Law Enforcement in Colbert County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001035	Combined Violent and Property Crime Incidents Known to Law Enforcement in Conecuh County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001037	Combined Violent and Property Crime Incidents Known to Law Enforcement in Coosa County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001039	Combined Violent and Property Crime Incidents Known to Law Enforcement in Covington County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001041	Combined Violent and Property Crime Incidents Known to Law Enforcement in Crenshaw County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001043	Combined Violent and Property Crime Incidents Known to Law Enforcement in Cullman County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001045	Combined Violent and Property Crime Incidents Known to Law Enforcement in Dale County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001047	Combined Violent and Property Crime Incidents Known to Law Enforcement in Dallas County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001049	Combined Violent and Property Crime Incidents Known to Law Enforcement in DeKalb County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001051	Combined Violent and Property Crime Incidents Known to Law Enforcement in Elmore County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001053	Combined Violent and Property Crime Incidents Known to Law Enforcement in Escambia County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001055	Combined Violent and Property Crime Incidents Known to Law Enforcement in Etowah County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001057	Combined Violent and Property Crime Incidents Known to Law Enforcement in Fayette County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001059	Combined Violent and Property Crime Incidents Known to Law Enforcement in Franklin County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001061	Combined Violent and Property Crime Incidents Known to Law Enforcement in Geneva County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001063	Combined Violent and Property Crime Incidents Known to Law Enforcement in Greene County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001065	Combined Violent and Property Crime Incidents Known to Law Enforcement in Hale County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001067	Combined Violent and Property Crime Incidents Known to Law Enforcement in Henry County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001069	Combined Violent and Property Crime Incidents Known to Law Enforcement in Houston County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001071	Combined Violent and Property Crime Incidents Known to Law Enforcement in Jackson County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
FBITC001073	Combined Violent and Property Crime Incidents Known to Law Enforcement in Jefferson County, AL	Not Seasonally Adjusted	Annual	Known Incidents		This series represents the combined violent and property crime statistics as reported by county law enforcement agencies.####FBI Uniform Crime Reporting: Crime in the United States, Table 10B.		TRUE	TRUE	2017-01-27	410
