series_id,tag
S1101SPHOUSE056043,prosperity scorecard
S1101SPHOUSE056041,prosperity scorecard
S1101SPHOUSE056039,prosperity scorecard
S1101SPHOUSE056037,prosperity scorecard
S1101SPHOUSE056035,prosperity scorecard
S1101SPHOUSE056033,prosperity scorecard
S1101SPHOUSE056031,prosperity scorecard
S1101SPHOUSE056029,prosperity scorecard
S1101SPHOUSE056027,prosperity scorecard
S1101SPHOUSE056025,prosperity scorecard
S1101SPHOUSE056023,prosperity scorecard
S1101SPHOUSE056021,prosperity scorecard
S1101SPHOUSE056019,prosperity scorecard
S1101SPHOUSE056017,prosperity scorecard
S1101SPHOUSE056015,prosperity scorecard
S1101SPHOUSE056013,prosperity scorecard
S1101SPHOUSE056011,prosperity scorecard
S1101SPHOUSE056009,prosperity scorecard
S1101SPHOUSE056007,prosperity scorecard
S1101SPHOUSE056005,prosperity scorecard
S1101SPHOUSE056003,prosperity scorecard
S1101SPHOUSE056001,prosperity scorecard
S1101SPHOUSE055141,prosperity scorecard
S1101SPHOUSE055139,prosperity scorecard
S1101SPHOUSE055137,prosperity scorecard
S1101SPHOUSE055135,prosperity scorecard
S1101SPHOUSE055133,prosperity scorecard
S1101SPHOUSE055131,prosperity scorecard
S1101SPHOUSE055129,prosperity scorecard
S1101SPHOUSE055127,prosperity scorecard
S1101SPHOUSE055125,prosperity scorecard
S1101SPHOUSE055123,prosperity scorecard
S1101SPHOUSE055121,prosperity scorecard
S1101SPHOUSE055119,prosperity scorecard
S1101SPHOUSE055117,prosperity scorecard
S1101SPHOUSE055115,prosperity scorecard
S1101SPHOUSE055113,prosperity scorecard
S1101SPHOUSE055111,prosperity scorecard
S1101SPHOUSE055109,prosperity scorecard
S1101SPHOUSE055107,prosperity scorecard
S1101SPHOUSE055105,prosperity scorecard
S1101SPHOUSE055103,prosperity scorecard
S1101SPHOUSE055049,prosperity scorecard
S1101SPHOUSE055047,prosperity scorecard
S1101SPHOUSE055045,prosperity scorecard
S1101SPHOUSE055043,prosperity scorecard
S1101SPHOUSE055041,prosperity scorecard
S1101SPHOUSE055039,prosperity scorecard
S1101SPHOUSE055037,prosperity scorecard
S1101SPHOUSE055035,prosperity scorecard
S1101SPHOUSE055033,prosperity scorecard
S1101SPHOUSE055031,prosperity scorecard
S1101SPHOUSE055029,prosperity scorecard
S1101SPHOUSE055027,prosperity scorecard
S1101SPHOUSE055025,prosperity scorecard
S1101SPHOUSE055023,prosperity scorecard
S1101SPHOUSE055021,prosperity scorecard
S1101SPHOUSE055019,prosperity scorecard
S1101SPHOUSE055017,prosperity scorecard
S1101SPHOUSE055015,prosperity scorecard
S1101SPHOUSE055013,prosperity scorecard
S1101SPHOUSE055011,prosperity scorecard
S1101SPHOUSE055009,prosperity scorecard
S1101SPHOUSE055007,prosperity scorecard
S1101SPHOUSE055005,prosperity scorecard
S1101SPHOUSE055003,prosperity scorecard
S1101SPHOUSE055001,prosperity scorecard
S1101SPHOUSE054109,prosperity scorecard
S1101SPHOUSE054107,prosperity scorecard
S1101SPHOUSE054105,prosperity scorecard
S1101SPHOUSE054103,prosperity scorecard
S1101SPHOUSE054101,prosperity scorecard
S1101SPHOUSE054099,prosperity scorecard
S1101SPHOUSE054097,prosperity scorecard
S1101SPHOUSE054095,prosperity scorecard
S1101SPHOUSE054093,prosperity scorecard
S1101SPHOUSE054091,prosperity scorecard
S1101SPHOUSE054089,prosperity scorecard
S1101SPHOUSE056045,prosperity scorecard
S1101SPHOUSE054087,prosperity scorecard
S1101SPHOUSE054085,prosperity scorecard
S1101SPHOUSE054083,prosperity scorecard
S1101SPHOUSE054081,prosperity scorecard
S1101SPHOUSE054079,prosperity scorecard
S1101SPHOUSE054045,prosperity scorecard
S1101SPHOUSE054043,prosperity scorecard
S1101SPHOUSE054041,prosperity scorecard
S1101SPHOUSE054039,prosperity scorecard
S1101SPHOUSE054037,prosperity scorecard
S1101SPHOUSE054035,prosperity scorecard
S1101SPHOUSE054033,prosperity scorecard
S1101SPHOUSE054031,prosperity scorecard
S1101SPHOUSE054029,prosperity scorecard
S1101SPHOUSE054027,prosperity scorecard
S1101SPHOUSE054025,prosperity scorecard
S1101SPHOUSE054023,prosperity scorecard
S1101SPHOUSE054021,prosperity scorecard
S1101SPHOUSE054019,prosperity scorecard
S1101SPHOUSE054017,prosperity scorecard
S1101SPHOUSE054015,prosperity scorecard
S1101SPHOUSE054013,prosperity scorecard
S1101SPHOUSE054011,prosperity scorecard
S1101SPHOUSE054009,prosperity scorecard
S1101SPHOUSE054007,prosperity scorecard
S1101SPHOUSE054005,prosperity scorecard
S1101SPHOUSE054003,prosperity scorecard
S1101SPHOUSE054001,prosperity scorecard
S1101SPHOUSE053077,prosperity scorecard
S1101SPHOUSE053075,prosperity scorecard
S1101SPHOUSE053073,prosperity scorecard
S1101SPHOUSE053071,prosperity scorecard
S1101SPHOUSE053069,prosperity scorecard
S1101SPHOUSE053067,prosperity scorecard
S1101SPHOUSE053065,prosperity scorecard
S1101SPHOUSE053063,prosperity scorecard
S1101SPHOUSE053061,prosperity scorecard
S1101SPHOUSE053059,prosperity scorecard
S1101SPHOUSE053057,prosperity scorecard
S1101SPHOUSE053055,prosperity scorecard
S1101SPHOUSE055101,prosperity scorecard
S1101SPHOUSE055099,prosperity scorecard
S1101SPHOUSE055097,prosperity scorecard
S1101SPHOUSE055095,prosperity scorecard
S1101SPHOUSE055093,prosperity scorecard
S1101SPHOUSE055091,prosperity scorecard
S1101SPHOUSE055089,prosperity scorecard
S1101SPHOUSE055087,prosperity scorecard
S1101SPHOUSE055085,prosperity scorecard
S1101SPHOUSE055083,prosperity scorecard
S1101SPHOUSE055081,prosperity scorecard
S1101SPHOUSE055079,prosperity scorecard
S1101SPHOUSE055078,prosperity scorecard
S1101SPHOUSE055077,prosperity scorecard
S1101SPHOUSE055075,prosperity scorecard
S1101SPHOUSE055073,prosperity scorecard
S1101SPHOUSE055071,prosperity scorecard
S1101SPHOUSE055069,prosperity scorecard
S1101SPHOUSE055067,prosperity scorecard
S1101SPHOUSE055065,prosperity scorecard
S1101SPHOUSE055063,prosperity scorecard
S1101SPHOUSE055061,prosperity scorecard
S1101SPHOUSE055059,prosperity scorecard
S1101SPHOUSE055057,prosperity scorecard
S1101SPHOUSE055055,prosperity scorecard
S1101SPHOUSE055053,prosperity scorecard
S1101SPHOUSE055051,prosperity scorecard
S1101SPHOUSE053053,prosperity scorecard
S1101SPHOUSE053051,prosperity scorecard
S1101SPHOUSE053049,prosperity scorecard
S1101SPHOUSE053047,prosperity scorecard
S1101SPHOUSE053045,prosperity scorecard
S1101SPHOUSE053027,prosperity scorecard
S1101SPHOUSE053025,prosperity scorecard
S1101SPHOUSE053023,prosperity scorecard
S1101SPHOUSE053021,prosperity scorecard
S1101SPHOUSE053019,prosperity scorecard
S1101SPHOUSE053017,prosperity scorecard
S1101SPHOUSE053015,prosperity scorecard
S1101SPHOUSE053013,prosperity scorecard
S1101SPHOUSE053011,prosperity scorecard
S1101SPHOUSE053009,prosperity scorecard
S1101SPHOUSE053007,prosperity scorecard
S1101SPHOUSE053005,prosperity scorecard
S1101SPHOUSE053003,prosperity scorecard
S1101SPHOUSE053001,prosperity scorecard
S1101SPHOUSE051840,prosperity scorecard
S1101SPHOUSE051830,prosperity scorecard
S1101SPHOUSE051820,prosperity scorecard
S1101SPHOUSE051810,prosperity scorecard
S1101SPHOUSE051800,prosperity scorecard
S1101SPHOUSE051790,prosperity scorecard
S1101SPHOUSE051775,prosperity scorecard
S1101SPHOUSE051770,prosperity scorecard
S1101SPHOUSE051760,prosperity scorecard
S1101SPHOUSE051750,prosperity scorecard
S1101SPHOUSE051740,prosperity scorecard
S1101SPHOUSE051735,prosperity scorecard
S1101SPHOUSE051730,prosperity scorecard
S1101SPHOUSE051720,prosperity scorecard
S1101SPHOUSE051710,prosperity scorecard
S1101SPHOUSE051700,prosperity scorecard
S1101SPHOUSE051690,prosperity scorecard
S1101SPHOUSE051685,prosperity scorecard
S1101SPHOUSE051683,prosperity scorecard
S1101SPHOUSE051680,prosperity scorecard
S1101SPHOUSE054077,prosperity scorecard
S1101SPHOUSE054075,prosperity scorecard
S1101SPHOUSE054073,prosperity scorecard
S1101SPHOUSE054071,prosperity scorecard
S1101SPHOUSE054069,prosperity scorecard
S1101SPHOUSE054067,prosperity scorecard
S1101SPHOUSE054065,prosperity scorecard
S1101SPHOUSE054063,prosperity scorecard
S1101SPHOUSE054061,prosperity scorecard
S1101SPHOUSE054059,prosperity scorecard
S1101SPHOUSE054057,prosperity scorecard
S1101SPHOUSE054055,prosperity scorecard
S1101SPHOUSE054053,prosperity scorecard
S1101SPHOUSE054051,prosperity scorecard
S1101SPHOUSE054049,prosperity scorecard
S1101SPHOUSE054047,prosperity scorecard
S1101SPHOUSE051678,prosperity scorecard
S1101SPHOUSE051670,prosperity scorecard
S1101SPHOUSE051660,prosperity scorecard
S1101SPHOUSE051650,prosperity scorecard
S1101SPHOUSE051515,prosperity scorecard
S1101SPHOUSE051510,prosperity scorecard
S1101SPHOUSE051199,prosperity scorecard
S1101SPHOUSE051197,prosperity scorecard
S1101SPHOUSE051195,prosperity scorecard
S1101SPHOUSE051193,prosperity scorecard
S1101SPHOUSE051191,prosperity scorecard
S1101SPHOUSE051187,prosperity scorecard
S1101SPHOUSE051185,prosperity scorecard
S1101SPHOUSE051183,prosperity scorecard
S1101SPHOUSE051181,prosperity scorecard
S1101SPHOUSE051179,prosperity scorecard
S1101SPHOUSE051177,prosperity scorecard
S1101SPHOUSE051175,prosperity scorecard
S1101SPHOUSE051173,prosperity scorecard
S1101SPHOUSE051171,prosperity scorecard
