GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US01001,01001,"Autauga County, Alabama",54490,122,42036,1168,12454,1163
0500000US01003,01003,"Baldwin County, Alabama",184619,443,133039,2817,51580,2814
0500000US01005,01005,"Barbour County, Alabama",24454,229,16814,641,7640,652
0500000US01007,01007,"Bibb County, Alabama",21472,167,17046,746,4426,738
0500000US01009,01009,"Blount County, Alabama",57057,99,46548,1201,10509,1210
0500000US01011,01011,"Bullock County, Alabama",10219,233,7514,545,2705,541
0500000US01013,01013,"Butler County, Alabama",20366,126,14237,642,6129,625
0500000US01015,01015,"Calhoun County, Alabama",114962,386,79254,1887,35708,1856
0500000US01017,01017,"Chambers County, Alabama",33710,88,22516,921,11194,917
0500000US01019,01019,"Cherokee County, Alabama",25598,118,19658,784,5940,772
0500000US01021,01021,"Chilton County, Alabama",43373,142,32437,1081,10936,1110
0500000US01023,01023,"Choctaw County, Alabama",13509,103,11528,380,1981,373
0500000US01025,01025,"Clarke County, Alabama",25291,99,19406,805,5885,788
0500000US01027,01027,"Clay County, Alabama",13417,98,10302,539,3115,517
0500000US01029,01029,"Cleburne County, Alabama",14784,57,11127,644,3657,642
0500000US01031,01031,"Coffee County, Alabama",49822,108,35192,1163,14630,1163
0500000US01033,01033,"Colbert County, Alabama",53938,134,39124,1242,14814,1205
0500000US01035,01035,"Conecuh County, Alabama",13040,57,10150,422,2890,426
0500000US01037,01037,"Coosa County, Alabama",10912,105,8781,457,2131,451
0500000US01039,01039,"Covington County, Alabama",37287,179,27509,849,9778,844
0500000US01041,01041,"Crenshaw County, Alabama",13788,112,9831,494,3957,493
0500000US01043,01043,"Cullman County, Alabama",79341,227,60259,1430,19082,1409
0500000US01045,01045,"Dale County, Alabama",48741,229,29079,871,19662,833
0500000US01047,01047,"Dallas County, Alabama",42553,142,25129,1130,17424,1115
0500000US01049,01049,"DeKalb County, Alabama",70193,274,54471,1766,15722,1730
0500000US01051,01051,"Elmore County, Alabama",74346,987,57433,1476,16913,1410
0500000US01053,01053,"Escambia County, Alabama",35390,377,26603,940,8787,889
0500000US01055,01055,"Etowah County, Alabama",102626,277,75590,1680,27036,1679
0500000US01057,01057,"Fayette County, Alabama",16782,114,12604,647,4178,644
0500000US01059,01059,"Franklin County, Alabama",31325,114,21230,817,10095,812
0500000US01061,01061,"Geneva County, Alabama",26545,102,18632,965,7913,952
0500000US01063,01063,"Greene County, Alabama",8888,39,6894,435,1994,435
0500000US01065,01065,"Hale County, Alabama",15255,110,12208,486,3047,488
0500000US01067,01067,"Henry County, Alabama",17108,96,13389,545,3719,552
0500000US01069,01069,"Houston County, Alabama",101235,214,64957,980,36278,983
0500000US01071,01071,"Jackson County, Alabama",52575,104,40718,1156,11857,1147
0500000US01073,01073,"Jefferson County, Alabama",643352,1146,426054,4575,217298,4720
0500000US01075,01075,"Lamar County, Alabama",14110,94,10241,594,3869,598
0500000US01077,01077,"Lauderdale County, Alabama",90715,292,66559,1345,24156,1355
0500000US01079,01079,"Lawrence County, Alabama",33782,113,27369,707,6413,711
0500000US01081,01081,"Lee County, Alabama",139088,569,88823,1892,50265,2002
0500000US01083,01083,"Limestone County, Alabama",81259,1260,62819,1821,18440,1850
0500000US01085,01085,"Lowndes County, Alabama",10990,67,8118,469,2872,462
