series_id,tag
BPPRIV001001,buildings
BPPRIV001003,buildings
BPPRIV001005,buildings
BPPRIV001009,buildings
BPPRIV001011,buildings
BPPRIV001013,buildings
BPPRIV001015,buildings
BPPRIV001017,buildings
BPPRIV001019,buildings
BPPRIV001021,buildings
BPPRIV001023,buildings
BPPRIV001025,buildings
BPPRIV001027,buildings
BPPRIV001029,buildings
BPPRIV001031,buildings
BPPRIV001033,buildings
BPPRIV001035,buildings
BPPRIV001037,buildings
BPPRIV001039,buildings
BPPRIV001041,buildings
BPPRIV001043,buildings
BPPRIV001045,buildings
BPPRIV001047,buildings
BPPRIV001049,buildings
BPPRIV001051,buildings
BPPRIV001053,buildings
BPPRIV001055,buildings
BPPRIV001057,buildings
BPPRIV001059,buildings
BPPRIV001061,buildings
BPPRIV001063,buildings
BPPRIV001065,buildings
BPPRIV001067,buildings
BPPRIV001069,buildings
BPPRIV001071,buildings
BPPRIV001073,buildings
BPPRIV001075,buildings
BPPRIV001077,buildings
BPPRIV001079,buildings
BPPRIV001081,buildings
BPPRIV001083,buildings
BPPRIV001085,buildings
BPPRIV001087,buildings
BPPRIV001089,buildings
BPPRIV001091,buildings
BPPRIV001093,buildings
BPPRIV001095,buildings
BPPRIV001097,buildings
BPPRIV001099,buildings
BPPRIV001101,buildings
BPPRIV001103,buildings
BPPRIV001105,buildings
BPPRIV001107,buildings
BPPRIV001109,buildings
BPPRIV001111,buildings
BPPRIV001113,buildings
BPPRIV001115,buildings
BPPRIV001117,buildings
BPPRIV001119,buildings
BPPRIV001121,buildings
BPPRIV001123,buildings
BPPRIV001125,buildings
BPPRIV001127,buildings
BPPRIV001129,buildings
BPPRIV001131,buildings
BPPRIV001133,buildings
BPPRIV001007,buildings
BPPRIV002013,buildings
BPPRIV002016,buildings
BPPRIV002050,buildings
BPPRIV002060,buildings
BPPRIV002070,buildings
BPPRIV002090,buildings
BPPRIV002100,buildings
BPPRIV002122,buildings
BPPRIV002130,buildings
BPPRIV002150,buildings
BPPRIV002170,buildings
BPPRIV002180,buildings
BPPRIV002185,buildings
BPPRIV002188,buildings
BPPRIV002201,buildings
BPPRIV002231,buildings
BPPRIV002261,buildings
BPPRIV002270,buildings
BPPRIV002280,buildings
BPPRIV002999,buildings
BPPRIV002000,buildings
BPPRIV002282,buildings
BPPRIV002232,buildings
BPPRIV002290,buildings
BPPRIV002105,buildings
BPPRIV002195,buildings
BPPRIV002198,buildings
BPPRIV004001,buildings
BPPRIV004003,buildings
BPPRIV004005,buildings
BPPRIV004007,buildings
BPPRIV004009,buildings
BPPRIV004011,buildings
BPPRIV004012,buildings
BPPRIV004013,buildings
BPPRIV004015,buildings
BPPRIV004017,buildings
BPPRIV004019,buildings
BPPRIV004021,buildings
BPPRIV004023,buildings
BPPRIV004025,buildings
BPPRIV004027,buildings
BPPRIV005001,buildings
BPPRIV005003,buildings
BPPRIV005005,buildings
BPPRIV005007,buildings
BPPRIV005009,buildings
BPPRIV005011,buildings
BPPRIV005013,buildings
BPPRIV005015,buildings
BPPRIV005017,buildings
BPPRIV005019,buildings
BPPRIV005021,buildings
BPPRIV005023,buildings
BPPRIV005025,buildings
BPPRIV005027,buildings
BPPRIV005029,buildings
BPPRIV005031,buildings
BPPRIV005033,buildings
BPPRIV005035,buildings
BPPRIV005037,buildings
BPPRIV005039,buildings
BPPRIV005041,buildings
BPPRIV005043,buildings
BPPRIV005045,buildings
BPPRIV005047,buildings
BPPRIV005049,buildings
BPPRIV005051,buildings
BPPRIV005053,buildings
BPPRIV005055,buildings
BPPRIV005057,buildings
BPPRIV005059,buildings
BPPRIV005061,buildings
BPPRIV005063,buildings
BPPRIV005065,buildings
BPPRIV005067,buildings
BPPRIV005069,buildings
BPPRIV005071,buildings
BPPRIV005073,buildings
BPPRIV005075,buildings
BPPRIV005077,buildings
BPPRIV005079,buildings
BPPRIV005081,buildings
BPPRIV005083,buildings
BPPRIV005085,buildings
BPPRIV005087,buildings
BPPRIV005089,buildings
BPPRIV005091,buildings
BPPRIV005093,buildings
BPPRIV005095,buildings
BPPRIV005099,buildings
BPPRIV005101,buildings
BPPRIV005103,buildings
BPPRIV005105,buildings
BPPRIV005107,buildings
BPPRIV005111,buildings
BPPRIV005113,buildings
BPPRIV005115,buildings
BPPRIV005117,buildings
BPPRIV005119,buildings
BPPRIV005121,buildings
BPPRIV005123,buildings
BPPRIV005125,buildings
BPPRIV005127,buildings
BPPRIV005129,buildings
BPPRIV005131,buildings
BPPRIV005133,buildings
BPPRIV005135,buildings
BPPRIV005137,buildings
BPPRIV005139,buildings
BPPRIV005141,buildings
BPPRIV005143,buildings
BPPRIV005145,buildings
BPPRIV005147,buildings
BPPRIV005149,buildings
BPPRIV006001,buildings
BPPRIV006003,buildings
BPPRIV006005,buildings
BPPRIV006007,buildings
BPPRIV006009,buildings
BPPRIV006011,buildings
BPPRIV006013,buildings
BPPRIV006015,buildings
BPPRIV006017,buildings
BPPRIV006019,buildings
BPPRIV006021,buildings
BPPRIV006023,buildings
BPPRIV006025,buildings
BPPRIV006027,buildings
BPPRIV006029,buildings
BPPRIV006031,buildings
BPPRIV006033,buildings
BPPRIV006035,buildings
BPPRIV006037,buildings
BPPRIV006039,buildings
BPPRIV006041,buildings
BPPRIV006043,buildings
BPPRIV006045,buildings
BPPRIV006047,buildings
BPPRIV006049,buildings
BPPRIV006051,buildings
BPPRIV006053,buildings
BPPRIV006055,buildings
BPPRIV006057,buildings
BPPRIV006059,buildings
BPPRIV006061,buildings
BPPRIV006063,buildings
BPPRIV006065,buildings
BPPRIV006067,buildings
BPPRIV006069,buildings
BPPRIV006071,buildings
BPPRIV006073,buildings
BPPRIV006077,buildings
BPPRIV006079,buildings
BPPRIV006081,buildings
BPPRIV006083,buildings
BPPRIV006085,buildings
BPPRIV006087,buildings
BPPRIV006089,buildings
BPPRIV006091,buildings
BPPRIV006093,buildings
BPPRIV006095,buildings
BPPRIV006097,buildings
BPPRIV006099,buildings
BPPRIV006101,buildings
BPPRIV006103,buildings
BPPRIV006105,buildings
BPPRIV006107,buildings
BPPRIV006109,buildings
BPPRIV006111,buildings
BPPRIV006113,buildings
BPPRIV006115,buildings
BPPRIV008001,buildings
BPPRIV008003,buildings
BPPRIV008005,buildings
BPPRIV008007,buildings
BPPRIV008009,buildings
BPPRIV008011,buildings
BPPRIV008013,buildings
BPPRIV008015,buildings
BPPRIV008017,buildings
BPPRIV008019,buildings
BPPRIV008021,buildings
BPPRIV008025,buildings
BPPRIV008027,buildings
BPPRIV008029,buildings
BPPRIV008031,buildings
BPPRIV008035,buildings
BPPRIV008037,buildings
BPPRIV008039,buildings
BPPRIV008041,buildings
BPPRIV008043,buildings
BPPRIV008045,buildings
BPPRIV008047,buildings
BPPRIV008049,buildings
BPPRIV008051,buildings
BPPRIV008053,buildings
BPPRIV008055,buildings
BPPRIV008057,buildings
BPPRIV008059,buildings
BPPRIV008061,buildings
BPPRIV008063,buildings
BPPRIV008065,buildings
BPPRIV008067,buildings
BPPRIV008069,buildings
BPPRIV008071,buildings
BPPRIV008073,buildings
BPPRIV008075,buildings
BPPRIV008077,buildings
BPPRIV008079,buildings
BPPRIV008081,buildings
BPPRIV008083,buildings
BPPRIV008085,buildings
BPPRIV008087,buildings
BPPRIV008089,buildings
BPPRIV008091,buildings
BPPRIV008093,buildings
BPPRIV008095,buildings
BPPRIV008097,buildings
BPPRIV008099,buildings
BPPRIV008101,buildings
BPPRIV008103,buildings
BPPRIV008105,buildings
BPPRIV008107,buildings
BPPRIV008109,buildings
BPPRIV008111,buildings
BPPRIV008113,buildings
BPPRIV008115,buildings
BPPRIV008117,buildings
BPPRIV008119,buildings
BPPRIV008121,buildings
BPPRIV008123,buildings
BPPRIV008125,buildings
BPPRIV008033,buildings
BPPRIV008023,buildings
BPPRIV009001,buildings
BPPRIV009003,buildings
BPPRIV009005,buildings
BPPRIV009007,buildings
BPPRIV009009,buildings
BPPRIV009011,buildings
BPPRIV009013,buildings
BPPRIV009015,buildings
BPPRIV010001,buildings
BPPRIV010003,buildings
BPPRIV010005,buildings
BPPRIV011001,buildings
BPPRIV012001,buildings
BPPRIV012003,buildings
BPPRIV012005,buildings
BPPRIV012007,buildings
BPPRIV012009,buildings
BPPRIV012011,buildings
BPPRIV012013,buildings
BPPRIV012015,buildings
BPPRIV012017,buildings
BPPRIV012019,buildings
BPPRIV012021,buildings
BPPRIV012023,buildings
BPPRIV012025,buildings
BPPRIV012027,buildings
BPPRIV012029,buildings
BPPRIV012031,buildings
BPPRIV012033,buildings
BPPRIV012035,buildings
BPPRIV012037,buildings
BPPRIV012039,buildings
BPPRIV012041,buildings
BPPRIV012043,buildings
BPPRIV012045,buildings
BPPRIV012047,buildings
BPPRIV012049,buildings
BPPRIV012051,buildings
BPPRIV012053,buildings
BPPRIV012055,buildings
BPPRIV012057,buildings
BPPRIV012059,buildings
BPPRIV012061,buildings
BPPRIV012063,buildings
BPPRIV012065,buildings
BPPRIV012067,buildings
BPPRIV012069,buildings
BPPRIV012071,buildings
BPPRIV012073,buildings
BPPRIV012075,buildings
BPPRIV012077,buildings
BPPRIV012079,buildings
BPPRIV012081,buildings
BPPRIV012083,buildings
BPPRIV012085,buildings
BPPRIV012087,buildings
BPPRIV012089,buildings
BPPRIV012091,buildings
BPPRIV012093,buildings
BPPRIV012095,buildings
BPPRIV012097,buildings
