Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201011,01,001,3,6,Autauga County                ,7,7,883863,0,0,0,0,0,0,0,0,0,7,7,883863,0,0,0,0,0,0,0,0,0
201011,01,007,3,6,Bibb County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011,01,009,3,6,Blount County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011,01,021,3,6,Chilton County                ,2,2,314917,0,0,0,0,0,0,0,0,0,1,1,180000,0,0,0,0,0,0,0,0,0
201011,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011,01,073,3,6,Jefferson County              ,61,61,11054787,1,2,142008,1,4,420540,0,0,0,35,35,5927402,0,0,0,0,0,0,0,0,0
201011,01,081,3,6,Lee County                    ,31,31,7256672,0,0,0,0,0,0,0,0,0,31,31,7256672,0,0,0,0,0,0,0,0,0
201011,01,115,3,6,St. Clair County              ,3,3,284665,0,0,0,0,0,0,0,0,0,3,3,284665,0,0,0,0,0,0,0,0,0
201011,01,117,3,6,Shelby County                 ,16,16,2836028,0,0,0,0,0,0,0,0,0,3,3,364917,0,0,0,0,0,0,0,0,0
201011,01,127,3,6,Walker County                 ,3,3,613000,0,0,0,0,0,0,0,0,0,3,3,613000,0,0,0,0,0,0,0,0,0
201011,02,000,4,9,Alaska Balance of State       ,5,5,1256413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011,02,016,4,9,Aleutians West Census Area    ,1,1,98126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011,02,020,4,9,Anchorage Borough             ,11,11,2944757,0,0,0,1,4,630906,0,0,0,11,11,2944757,0,0,0,1,4,630906,0,0,0
201011,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011,02,090,4,9,Fairbanks North Star Borough  ,2,2,366407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011,02,110,4,9,Juneau Borough                ,5,5,1247509,0,0,0,0,0,0,0,0,0,5,5,1247509,0,0,0,0,0,0,0,0,0
201011,02,122,4,9,Kenai Peninsula Borough       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011,02,130,4,9,Ketchikan Gateway Borough     ,1,1,209081,0,0,0,0,0,0,0,0,0,1,1,209081,0,0,0,0,0,0,0,0,0
201011,02,150,4,9,Kodiak Island Borough         ,1,1,344271,0,0,0,0,0,0,0,0,0,1,1,344271,0,0,0,0,0,0,0,0,0
201011,02,170,4,9,Matanuska-Susitna Borough     ,3,3,573854,1,2,269037,0,0,0,0,0,0,2,2,418162,1,2,269037,0,0,0,0,0,0
