date,county_name,1_unit_bldgs,1_unit_units,2_unit_bldgs,2_unit_units,34_unit_bldgs,34_unit_units,5_unit_bldgs,5_unit_units,1_unit_bldgs_rep,1_unit_units_rep,2_unit_bldgs_rep,2_unit_units_rep,34_unit_bldgs_rep,34_unit_units_rep,5_unit_bldgs_rep,5_unit_units_rep,fips
1990,"Crawford County, IL",4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
1991,"Crawford County, IL",5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
1992,"Crawford County, IL",18.0,18.0,0.0,0.0,0.0,0.0,1.0,8.0,18.0,18.0,0.0,0.0,0.0,0.0,1.0,8.0,17033
1993,"Crawford County, IL",31.0,31.0,4.0,8.0,1.0,3.0,0.0,0.0,31.0,31.0,4.0,8.0,1.0,3.0,0.0,0.0,17033
1994,"Crawford County, IL",25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
1995,"Crawford County, IL",18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
1996,"Crawford County, IL",18.0,18.0,1.0,2.0,0.0,0.0,1.0,6.0,18.0,18.0,1.0,2.0,0.0,0.0,1.0,6.0,17033
1997,"Crawford County, IL",25.0,25.0,0.0,0.0,1.0,3.0,1.0,22.0,25.0,25.0,0.0,0.0,1.0,3.0,1.0,22.0,17033
1998,"Crawford County, IL",14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
1999,"Crawford County, IL",17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
2000,"Crawford County, IL",5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
2001,"Crawford County, IL",6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
2002,"Crawford County, IL",1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,17033
2003,"Crawford County, IL",4.0,4.0,0.0,0.0,2.0,8.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,8.0,0.0,0.0,17033
2004,"Crawford County, IL",4.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,17033
2005,"Crawford County, IL",8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
2006,"Crawford County, IL",10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
2007,"Crawford County, IL",2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,17033
2008,"Crawford County, IL",6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
2009,"Crawford County, IL",6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
2010,"Crawford County, IL",7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
2011,"Crawford County, IL",38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
2012,"Crawford County, IL",8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
2013,"Crawford County, IL",5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
2014,"Crawford County, IL",5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
2015,"Crawford County, IL",14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,17033
