series_id	title	season	frequency	units	keywords	notes	period_description	growth_rates	obs_vsd_use_release_date	valid_start_date	release_id
BPPRIV001001	New Private Housing Units Authorized by Building Permits for Autauga County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001003	New Private Housing Units Authorized by Building Permits for Baldwin County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001005	New Private Housing Units Authorized by Building Permits for Barbour County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001009	New Private Housing Units Authorized by Building Permits for Blount County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001011	New Private Housing Units Authorized by Building Permits for Bullock County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001013	New Private Housing Units Authorized by Building Permits for Butler County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001015	New Private Housing Units Authorized by Building Permits for Calhoun County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001017	New Private Housing Units Authorized by Building Permits for Chambers County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001019	New Private Housing Units Authorized by Building Permits for Cherokee County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001021	New Private Housing Units Authorized by Building Permits for Chilton County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001023	New Private Housing Units Authorized by Building Permits for Choctaw County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001025	New Private Housing Units Authorized by Building Permits for Clarke County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001027	New Private Housing Units Authorized by Building Permits for Clay County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001029	New Private Housing Units Authorized by Building Permits for Cleburne County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001031	New Private Housing Units Authorized by Building Permits for Coffee County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001033	New Private Housing Units Authorized by Building Permits for Colbert County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001035	New Private Housing Units Authorized by Building Permits for Conecuh County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001037	New Private Housing Units Authorized by Building Permits for Coosa County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001039	New Private Housing Units Authorized by Building Permits for Covington County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001041	New Private Housing Units Authorized by Building Permits for Crenshaw County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001043	New Private Housing Units Authorized by Building Permits for Cullman County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001045	New Private Housing Units Authorized by Building Permits for Dale County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001047	New Private Housing Units Authorized by Building Permits for Dallas County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001049	New Private Housing Units Authorized by Building Permits for DeKalb County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001051	New Private Housing Units Authorized by Building Permits for Elmore County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001053	New Private Housing Units Authorized by Building Permits for Escambia County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001055	New Private Housing Units Authorized by Building Permits for Etowah County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001057	New Private Housing Units Authorized by Building Permits for Fayette County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001059	New Private Housing Units Authorized by Building Permits for Franklin County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001061	New Private Housing Units Authorized by Building Permits for Geneva County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001063	New Private Housing Units Authorized by Building Permits for Greene County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001065	New Private Housing Units Authorized by Building Permits for Hale County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001067	New Private Housing Units Authorized by Building Permits for Henry County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001069	New Private Housing Units Authorized by Building Permits for Houston County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001071	New Private Housing Units Authorized by Building Permits for Jackson County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001073	New Private Housing Units Authorized by Building Permits for Jefferson County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001075	New Private Housing Units Authorized by Building Permits for Lamar County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
BPPRIV001077	New Private Housing Units Authorized by Building Permits for Lauderdale County, AL	Not Seasonally Adjusted	Annual	Units				TRUE	TRUE	2017-01-27	148
