GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US01001,01001,"Autauga County, Alabama",13085,1207,33969,1823,53676,2321,79810,2652,143127,8122,222923,28008
0500000US01003,01003,"Baldwin County, Alabama",13411,585,31521,862,50015,982,76247,1380,159076,5875,270227,18351
0500000US01005,01005,"Barbour County, Alabama",6137,816,17077,1807,32416,2140,50715,2502,102206,10383,165803,30433
0500000US01007,01007,"Bibb County, Alabama",11506,1521,25382,2371,41991,3803,63731,4869,118852,9589,167126,21357
0500000US01009,01009,"Blount County, Alabama",10738,888,27282,1687,45410,1865,66150,2306,127799,9631,203077,30052
0500000US01011,01011,"Bullock County, Alabama",7089,1641,17848,2583,30331,3367,49888,6873,140976,28835,278059,81716
0500000US01013,01013,"Butler County, Alabama",6407,1141,17434,1701,30610,2299,49590,3839,101785,7420,158335,19278
0500000US01015,01015,"Calhoun County, Alabama",7878,537,21772,958,38742,1309,62381,1585,120910,4726,190447,13321
0500000US01017,01017,"Chambers County, Alabama",7808,636,19057,1257,31907,1746,49994,2567,93199,4231,137091,10275
0500000US01019,01019,"Cherokee County, Alabama",9088,1034,21529,2237,39107,3414,60279,3631,116003,8918,183327,23447
