series_id,tag
B080ACS001001,acs
B080ACS001003,acs
B080ACS001005,acs
B080ACS001007,acs
B080ACS001009,acs
B080ACS001011,acs
B080ACS001013,acs
B080ACS001015,acs
B080ACS001017,acs
B080ACS001019,acs
B080ACS001021,acs
B080ACS001023,acs
B080ACS001025,acs
B080ACS001027,acs
B080ACS001029,acs
B080ACS001031,acs
B080ACS001033,acs
B080ACS001035,acs
B080ACS001037,acs
B080ACS001039,acs
B080ACS001041,acs
B080ACS001043,acs
B080ACS001045,acs
B080ACS001047,acs
B080ACS001049,acs
B080ACS001051,acs
B080ACS001053,acs
B080ACS001055,acs
B080ACS001057,acs
B080ACS001059,acs
B080ACS001061,acs
B080ACS001063,acs
B080ACS001065,acs
B080ACS001067,acs
B080ACS001069,acs
B080ACS001071,acs
B080ACS001073,acs
B080ACS001075,acs
B080ACS001077,acs
B080ACS001079,acs
B080ACS001081,acs
B080ACS001083,acs
B080ACS001085,acs
B080ACS001087,acs
B080ACS001089,acs
B080ACS001091,acs
B080ACS001093,acs
B080ACS001095,acs
B080ACS001097,acs
B080ACS001099,acs
B080ACS001101,acs
B080ACS001103,acs
B080ACS001105,acs
B080ACS001107,acs
B080ACS001109,acs
B080ACS001111,acs
B080ACS001113,acs
B080ACS001115,acs
B080ACS001117,acs
B080ACS001119,acs
B080ACS001121,acs
B080ACS001123,acs
B080ACS001125,acs
B080ACS001127,acs
B080ACS001129,acs
B080ACS001131,acs
B080ACS001133,acs
B080ACS002013,acs
B080ACS002016,acs
B080ACS002020,acs
B080ACS002050,acs
B080ACS002060,acs
B080ACS002068,acs
B080ACS002070,acs
B080ACS002090,acs
B080ACS002100,acs
B080ACS002105,acs
B080ACS002110,acs
B080ACS002122,acs
B080ACS002130,acs
B080ACS002150,acs
B080ACS002164,acs
B080ACS002170,acs
B080ACS002180,acs
B080ACS002185,acs
B080ACS002188,acs
B080ACS002195,acs
B080ACS002198,acs
B080ACS002220,acs
B080ACS002230,acs
B080ACS002240,acs
B080ACS002261,acs
B080ACS002270,acs
B080ACS002275,acs
B080ACS002282,acs
B080ACS002290,acs
B080ACS004001,acs
B080ACS004003,acs
B080ACS004005,acs
B080ACS004007,acs
B080ACS004009,acs
B080ACS004011,acs
B080ACS004012,acs
B080ACS004013,acs
B080ACS004015,acs
B080ACS004017,acs
B080ACS004019,acs
B080ACS004021,acs
B080ACS004023,acs
B080ACS004025,acs
B080ACS004027,acs
B080ACS005001,acs
B080ACS005003,acs
B080ACS005005,acs
B080ACS005007,acs
B080ACS005009,acs
B080ACS005011,acs
B080ACS005013,acs
B080ACS005015,acs
B080ACS005017,acs
B080ACS005019,acs
B080ACS005021,acs
B080ACS005023,acs
B080ACS005025,acs
B080ACS005027,acs
B080ACS005029,acs
B080ACS005031,acs
B080ACS005033,acs
B080ACS005035,acs
B080ACS005037,acs
B080ACS005039,acs
B080ACS005041,acs
B080ACS005043,acs
B080ACS005045,acs
B080ACS005047,acs
B080ACS005049,acs
B080ACS005051,acs
B080ACS005053,acs
B080ACS005055,acs
B080ACS005057,acs
B080ACS005059,acs
B080ACS005061,acs
B080ACS005063,acs
B080ACS005065,acs
B080ACS005067,acs
B080ACS005069,acs
B080ACS005071,acs
B080ACS005073,acs
B080ACS005075,acs
B080ACS005077,acs
B080ACS005079,acs
B080ACS005081,acs
B080ACS005083,acs
B080ACS005085,acs
B080ACS005087,acs
B080ACS005089,acs
B080ACS005091,acs
B080ACS005093,acs
B080ACS005095,acs
B080ACS005097,acs
B080ACS005099,acs
B080ACS005101,acs
B080ACS005103,acs
B080ACS005105,acs
B080ACS005107,acs
B080ACS005109,acs
B080ACS005111,acs
B080ACS005113,acs
B080ACS005115,acs
B080ACS005117,acs
B080ACS005119,acs
B080ACS005121,acs
B080ACS005123,acs
B080ACS005125,acs
B080ACS005127,acs
B080ACS005129,acs
B080ACS005131,acs
B080ACS005133,acs
B080ACS005135,acs
B080ACS005137,acs
B080ACS005139,acs
B080ACS005141,acs
B080ACS005143,acs
B080ACS005145,acs
B080ACS005147,acs
B080ACS005149,acs
B080ACS006001,acs
B080ACS006003,acs
B080ACS006005,acs
B080ACS006007,acs
B080ACS006009,acs
B080ACS006011,acs
B080ACS006013,acs
B080ACS006015,acs
B080ACS006017,acs
B080ACS006019,acs
B080ACS006021,acs
B080ACS006023,acs
B080ACS006025,acs
B080ACS006027,acs
B080ACS006029,acs
B080ACS006031,acs
B080ACS006033,acs
B080ACS006035,acs
B080ACS006037,acs
B080ACS006039,acs
B080ACS006041,acs
B080ACS006043,acs
B080ACS006045,acs
B080ACS006047,acs
B080ACS006049,acs
B080ACS006051,acs
B080ACS006053,acs
B080ACS006055,acs
B080ACS006057,acs
B080ACS006059,acs
B080ACS006061,acs
B080ACS006063,acs
B080ACS006065,acs
B080ACS006067,acs
B080ACS006069,acs
B080ACS006071,acs
B080ACS006073,acs
B080ACS006075,acs
B080ACS006077,acs
B080ACS006079,acs
B080ACS006081,acs
B080ACS006083,acs
B080ACS006085,acs
B080ACS006087,acs
B080ACS006089,acs
B080ACS006091,acs
B080ACS006093,acs
B080ACS006095,acs
B080ACS006097,acs
B080ACS006099,acs
B080ACS006101,acs
B080ACS006103,acs
B080ACS006105,acs
B080ACS006107,acs
B080ACS006109,acs
B080ACS006111,acs
B080ACS006113,acs
B080ACS006115,acs
B080ACS008001,acs
B080ACS008003,acs
B080ACS008005,acs
B080ACS008007,acs
B080ACS008009,acs
B080ACS008011,acs
B080ACS008013,acs
B080ACS008014,acs
B080ACS008015,acs
B080ACS008017,acs
B080ACS008019,acs
B080ACS008021,acs
B080ACS008023,acs
B080ACS008025,acs
B080ACS008027,acs
B080ACS008029,acs
B080ACS008031,acs
B080ACS008033,acs
B080ACS008035,acs
B080ACS008037,acs
B080ACS008039,acs
B080ACS008041,acs
B080ACS008043,acs
B080ACS008045,acs
B080ACS008047,acs
B080ACS008049,acs
B080ACS008051,acs
B080ACS008053,acs
