GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):,Margin of Error; Aggregate travel time to work (in minutes):,Estimate; Male,Margin of Error; Male,Estimate; Female,Margin of Error; Female
0500000US01001,01001,"Autauga County, Alabama",554175,19974,315325,14618,238845,12225
0500000US01003,01003,"Baldwin County, Alabama",1866005,44608,1117935,38778,748070,26609
0500000US01005,01005,"Barbour County, Alabama",228110,24117,137970,18895,90140,12131
0500000US01007,01007,"Bibb County, Alabama",262335,19825,155950,17135,106385,11686
0500000US01009,01009,"Blount County, Alabama",782985,40088,465800,30163,317185,21967
0500000US01011,01011,"Bullock County, Alabama",88900,15731,51335,11806,37560,10197
0500000US01013,01013,"Butler County, Alabama",193220,13950,109895,11162,83325,9442
0500000US01015,01015,"Calhoun County, Alabama",1027730,42223,596445,29143,431290,25436
0500000US01017,01017,"Chambers County, Alabama",293795,20799,158990,15009,134805,11243
0500000US01019,01019,"Cherokee County, Alabama",265955,20869,161735,15932,104215,10577
0500000US01021,01021,"Chilton County, Alabama",564025,26004,359580,20735,204445,16483
0500000US01023,01023,"Choctaw County, Alabama",137070,18349,88505,15436,48565,10377
0500000US01025,01025,"Clarke County, Alabama",192450,25711,127665,21516,64785,12053
0500000US01027,01027,"Clay County, Alabama",143105,15422,96060,13941,47045,12306
0500000US01029,01029,"Cleburne County, Alabama",154970,16067,94455,13922,60515,8092
0500000US01031,01031,"Coffee County, Alabama",407210,17773,245540,14341,161670,10393
0500000US01033,01033,"Colbert County, Alabama",501215,24290,300665,20047,200550,12856
0500000US01035,01035,"Conecuh County, Alabama",115200,19246,69160,14262,46040,7853
0500000US01037,01037,"Coosa County, Alabama",112455,12991,61020,11097,51435,7388
0500000US01039,01039,"Covington County, Alabama",301250,23247,172310,19759,128940,14178
0500000US01041,01041,"Crenshaw County, Alabama",144510,11957,93495,10955,51010,6675
0500000US01043,01043,"Cullman County, Alabama",910605,41468,593040,33623,317565,18365
0500000US01045,01045,"Dale County, Alabama",402745,22488,232420,19747,170325,12135
0500000US01047,01047,"Dallas County, Alabama",363700,31261,202775,24786,160930,16753
0500000US01049,01049,"DeKalb County, Alabama",600265,39019,372395,25600,227870,21027
