series_id	title	season	frequency	units	keywords	notes	period_description	growth_rates	obs_vsd_use_release_date	valid_start_date	release_id
B01002001E002020	Median Age of the Population in Anchorage Borough/municipality, AK	Not Seasonally Adjusted	Annual	Years of Age				TRUE	TRUE	2017-05-17	430
B01002001E002110	Median Age of the Population in Juneau City and Borough, AK	Not Seasonally Adjusted	Annual	Years of Age				TRUE	TRUE	2017-05-17	430
B01002001E002220	Median Age of the Population in Sitka City and Borough, AK	Not Seasonally Adjusted	Annual	Years of Age				TRUE	TRUE	2017-05-17	430
B01002001E002230	Median Age of the Population in Skagway Municipality, AK	Not Seasonally Adjusted	Annual	Years of Age				TRUE	TRUE	2017-05-17	430
B01002001E002275	Median Age of the Population in Wrangell City and Borough, AK	Not Seasonally Adjusted	Annual	Years of Age				TRUE	TRUE	2017-05-17	430
B01002001E006075	Median Age of the Population in San Francisco County, CA	Not Seasonally Adjusted	Annual	Years of Age				TRUE	TRUE	2017-05-17	430
B01002001E008014	Median Age of the Population in Broomfield County, CO	Not Seasonally Adjusted	Annual	Years of Age				TRUE	TRUE	2017-05-17	430
B01002001E011001	Median Age of the Population in District of Columbia, DC	Not Seasonally Adjusted	Annual	Years of Age				TRUE	TRUE	2017-05-17	430
B01002001E015003	Median Age of the Population in Honolulu County, HI	Not Seasonally Adjusted	Annual	Years of Age				TRUE	TRUE	2017-05-17	430
B01002001E042101	Median Age of the Population in Philadelphia County, PA	Not Seasonally Adjusted	Annual	Years of Age				TRUE	TRUE	2017-05-17	430
