fips;	county
001001;	Autauga County, AL
001003;	Baldwin County, AL
001005;	Barbour County, AL
001007;	Bibb County, AL
001009;	Blount County, AL
001011;	Bullock County, AL
001013;	Butler County, AL
001015;	Calhoun County, AL
001017;	Chambers County, AL
001019;	Cherokee County, AL
001021;	Chilton County, AL
001023;	Choctaw County, AL
001025;	Clarke County, AL
001027;	Clay County, AL
001029;	Cleburne County, AL
001031;	Coffee County, AL
001033;	Colbert County, AL
001035;	Conecuh County, AL
001037;	Coosa County, AL
001039;	Covington County, AL
001041;	Crenshaw County, AL
001043;	Cullman County, AL
001045;	Dale County, AL
001047;	Dallas County, AL
001049;	DeKalb County, AL
001051;	Elmore County, AL
001053;	Escambia County, AL
001055;	Etowah County, AL
001057;	Fayette County, AL
001059;	Franklin County, AL
001061;	Geneva County, AL
001063;	Greene County, AL
001065;	Hale County, AL
001067;	Henry County, AL
001069;	Houston County, AL
001071;	Jackson County, AL
001073;	Jefferson County, AL
001075;	Lamar County, AL
001077;	Lauderdale County, AL
001079;	Lawrence County, AL
001081;	Lee County, AL
001083;	Limestone County, AL
001085;	Lowndes County, AL
001087;	Macon County, AL
001089;	Madison County, AL
001091;	Marengo County, AL
001093;	Marion County, AL
001095;	Marshall County, AL
001097;	Mobile County, AL
001099;	Monroe County, AL
001101;	Montgomery County, AL
001103;	Morgan County, AL
001105;	Perry County, AL
001107;	Pickens County, AL
001109;	Pike County, AL
001111;	Randolph County, AL
001113;	Russell County, AL
001115;	St. Clair County, AL
001117;	Shelby County, AL
001119;	Sumter County, AL
001121;	Talladega County, AL
001123;	Tallapoosa County, AL
001125;	Tuscaloosa County, AL
001127;	Walker County, AL
001129;	Washington County, AL
001131;	Wilcox County, AL
001133;	Winston County, AL
002013;	Aleutians East Borough, AK
002016;	Aleutians West Census Area, AK
002020;	Anchorage Borough/municipality, AK
002050;	Bethel Census Area, AK
002060;	Bristol Bay Borough, AK
002068;	Denali Borough, AK
002070;	Dillingham Census Area, AK
002090;	Fairbanks North Star Borough, AK
002100;	Haines Borough, AK
002105;	Hoonah-Angoon Census Area, AK
002110;	Juneau City and Borough, AK
002122;	Kenai Peninsula Borough, AK
002130;	Ketchikan Gateway Borough, AK
002150;	Kodiak Island Borough, AK
002158; Kusilvak Census Area, AK
002164;	Lake and Peninsula Borough, AK
002170;	Matanuska-Susitna Borough, AK
002180;	Nome Census Area, AK
002185;	North Slope Borough, AK
002188;	Northwest Arctic Borough, AK
002195;	Petersburg Census Area, AK
002198;	Prince of Wales-Hyder Census Area, AK
002220;	Sitka City and Borough, AK
002230;	Skagway Municipality, AK
002240;	Southeast Fairbanks Census Area, AK
002261;	Valdez-Cordova Census Area, AK
002270;	Wade Hampton Census Area, AK
002275;	Wrangell City and Borough, AK
002282;	Yakutat City and Borough, AK
002290;	Yukon-Koyukuk Census Area, AK
004001;	Apache County, AZ
004003;	Cochise County, AZ
004005;	Coconino County, AZ
004007;	Gila County, AZ
004009;	Graham County, AZ
004011;	Greenlee County, AZ
004012;	La Paz County, AZ
004013;	Maricopa County, AZ
004015;	Mohave County, AZ
004017;	Navajo County, AZ
004019;	Pima County, AZ
004021;	Pinal County, AZ
004023;	Santa Cruz County, AZ
004025;	Yavapai County, AZ
004027;	Yuma County, AZ
005001;	Arkansas County, AR
005003;	Ashley County, AR
005005;	Baxter County, AR
005007;	Benton County, AR
005009;	Boone County, AR
005011;	Bradley County, AR
005013;	Calhoun County, AR
005015;	Carroll County, AR
005017;	Chicot County, AR
005019;	Clark County, AR
005021;	Clay County, AR
005023;	Cleburne County, AR
005025;	Cleveland County, AR
005027;	Columbia County, AR
005029;	Conway County, AR
005031;	Craighead County, AR
005033;	Crawford County, AR
005035;	Crittenden County, AR
005037;	Cross County, AR
005039;	Dallas County, AR
005041;	Desha County, AR
005043;	Drew County, AR
005045;	Faulkner County, AR
005047;	Franklin County, AR
005049;	Fulton County, AR
005051;	Garland County, AR
005053;	Grant County, AR
005055;	Greene County, AR
005057;	Hempstead County, AR
005059;	Hot Spring County, AR
005061;	Howard County, AR
005063;	Independence County, AR
005065;	Izard County, AR
005067;	Jackson County, AR
005069;	Jefferson County, AR
005071;	Johnson County, AR
005073;	Lafayette County, AR
005075;	Lawrence County, AR
005077;	Lee County, AR
005079;	Lincoln County, AR
005081;	Little River County, AR
005083;	Logan County, AR
005085;	Lonoke County, AR
005087;	Madison County, AR
005089;	Marion County, AR
005091;	Miller County, AR
005093;	Mississippi County, AR
005095;	Monroe County, AR
005097;	Montgomery County, AR
005099;	Nevada County, AR
005101;	Newton County, AR
005103;	Ouachita County, AR
005105;	Perry County, AR
005107;	Phillips County, AR
005109;	Pike County, AR
005111;	Poinsett County, AR
005113;	Polk County, AR
005115;	Pope County, AR
005117;	Prairie County, AR
005119;	Pulaski County, AR
005121;	Randolph County, AR
005123;	St. Francis County, AR
005125;	Saline County, AR
005127;	Scott County, AR
005129;	Searcy County, AR
005131;	Sebastian County, AR
005133;	Sevier County, AR
005135;	Sharp County, AR
005137;	Stone County, AR
005139;	Union County, AR
005141;	Van Buren County, AR
005143;	Washington County, AR
005145;	White County, AR
005147;	Woodruff County, AR
005149;	Yell County, AR
006001;	Alameda County, CA
006003;	Alpine County, CA
006005;	Amador County, CA
006007;	Butte County, CA
006009;	Calaveras County, CA
006011;	Colusa County, CA
006013;	Contra Costa County, CA
006015;	Del Norte County, CA
006017;	El Dorado County, CA
006019;	Fresno County, CA
006021;	Glenn County, CA
006023;	Humboldt County, CA
006025;	Imperial County, CA
006027;	Inyo County, CA
006029;	Kern County, CA
006031;	Kings County, CA
006033;	Lake County, CA
006035;	Lassen County, CA
006037;	Los Angeles County, CA
006039;	Madera County, CA
006041;	Marin County, CA
006043;	Mariposa County, CA
006045;	Mendocino County, CA
006047;	Merced County, CA
006049;	Modoc County, CA
