series_id	tag
NETMIGNACS027149	prosperity scorecard
NETMIGNACS027145	prosperity scorecard
NETMIGNACS001099	prosperity scorecard
NETMIGNACS001025	prosperity scorecard
NETMIGNACS001027	prosperity scorecard
NETMIGNACS001029	prosperity scorecard
NETMIGNACS001037	prosperity scorecard
NETMIGNACS001039	prosperity scorecard
NETMIGNACS001041	prosperity scorecard
NETMIGNACS001047	prosperity scorecard
NETMIGNACS001053	prosperity scorecard
NETMIGNACS001067	prosperity scorecard
NETMIGNACS001071	prosperity scorecard
NETMIGNACS001075	prosperity scorecard
NETMIGNACS001077	prosperity scorecard
NETMIGNACS001083	prosperity scorecard
NETMIGNACS001089	prosperity scorecard
NETMIGNACS001117	prosperity scorecard
NETMIGNACS001123	prosperity scorecard
NETMIGNACS001125	prosperity scorecard
NETMIGNACS002060	prosperity scorecard
NETMIGNACS002170	prosperity scorecard
NETMIGNACS002185	prosperity scorecard
NETMIGNACS002195	prosperity scorecard
NETMIGNACS002261	prosperity scorecard
NETMIGNACS002270	prosperity scorecard
NETMIGNACS004001	prosperity scorecard
NETMIGNACS004003	prosperity scorecard
NETMIGNACS004005	prosperity scorecard
NETMIGNACS004015	prosperity scorecard
NETMIGNACS004023	prosperity scorecard
NETMIGNACS005009	prosperity scorecard
NETMIGNACS005045	prosperity scorecard
NETMIGNACS005049	prosperity scorecard
NETMIGNACS005053	prosperity scorecard
NETMIGNACS005055	prosperity scorecard
NETMIGNACS005057	prosperity scorecard
NETMIGNACS005059	prosperity scorecard
NETMIGNACS005067	prosperity scorecard
NETMIGNACS005097	prosperity scorecard
NETMIGNACS005103	prosperity scorecard
NETMIGNACS005109	prosperity scorecard
NETMIGNACS005129	prosperity scorecard
NETMIGNACS005131	prosperity scorecard
NETMIGNACS006009	prosperity scorecard
NETMIGNACS006019	prosperity scorecard
NETMIGNACS006021	prosperity scorecard
NETMIGNACS006023	prosperity scorecard
NETMIGNACS006029	prosperity scorecard
NETMIGNACS006063	prosperity scorecard
NETMIGNACS006087	prosperity scorecard
NETMIGNACS006095	prosperity scorecard
NETMIGNACS006099	prosperity scorecard
NETMIGNACS006101	prosperity scorecard
NETMIGNACS006107	prosperity scorecard
NETMIGNACS006115	prosperity scorecard
NETMIGNACS008001	prosperity scorecard
NETMIGNACS008015	prosperity scorecard
NETMIGNACS008033	prosperity scorecard
NETMIGNACS008045	prosperity scorecard
NETMIGNACS008053	prosperity scorecard
NETMIGNACS008055	prosperity scorecard
NETMIGNACS008057	prosperity scorecard
NETMIGNACS008063	prosperity scorecard
NETMIGNACS008065	prosperity scorecard
NETMIGNACS008069	prosperity scorecard
NETMIGNACS008073	prosperity scorecard
NETMIGNACS008077	prosperity scorecard
NETMIGNACS008079	prosperity scorecard
NETMIGNACS008085	prosperity scorecard
NETMIGNACS008087	prosperity scorecard
NETMIGNACS008089	prosperity scorecard
NETMIGNACS008091	prosperity scorecard
NETMIGNACS008093	prosperity scorecard
NETMIGNACS008095	prosperity scorecard
NETMIGNACS008101	prosperity scorecard
NETMIGNACS008103	prosperity scorecard
NETMIGNACS008107	prosperity scorecard
NETMIGNACS008117	prosperity scorecard
NETMIGNACS009007	prosperity scorecard
NETMIGNACS009015	prosperity scorecard
NETMIGNACS010001	prosperity scorecard
NETMIGNACS012007	prosperity scorecard
NETMIGNACS012009	prosperity scorecard
NETMIGNACS012031	prosperity scorecard
NETMIGNACS012039	prosperity scorecard
NETMIGNACS012041	prosperity scorecard
NETMIGNACS012047	prosperity scorecard
NETMIGNACS012057	prosperity scorecard
NETMIGNACS012059	prosperity scorecard
NETMIGNACS012061	prosperity scorecard
NETMIGNACS012067	prosperity scorecard
NETMIGNACS012071	prosperity scorecard
NETMIGNACS012073	prosperity scorecard
NETMIGNACS012085	prosperity scorecard
NETMIGNACS012086	prosperity scorecard
NETMIGNACS012087	prosperity scorecard
NETMIGNACS012091	prosperity scorecard
NETMIGNACS012093	prosperity scorecard
NETMIGNACS012095	prosperity scorecard
NETMIGNACS012103	prosperity scorecard
NETMIGNACS012107	prosperity scorecard
NETMIGNACS012109	prosperity scorecard
NETMIGNACS012113	prosperity scorecard
NETMIGNACS012119	prosperity scorecard
NETMIGNACS012123	prosperity scorecard
NETMIGNACS012125	prosperity scorecard
NETMIGNACS012131	prosperity scorecard
NETMIGNACS012133	prosperity scorecard
NETMIGNACS013003	prosperity scorecard
NETMIGNACS013009	prosperity scorecard
NETMIGNACS013011	prosperity scorecard
NETMIGNACS013015	prosperity scorecard
NETMIGNACS013017	prosperity scorecard
NETMIGNACS013019	prosperity scorecard
NETMIGNACS013025	prosperity scorecard
NETMIGNACS013027	prosperity scorecard
NETMIGNACS013033	prosperity scorecard
NETMIGNACS013037	prosperity scorecard
