series_id,tag
S1701ACS021009,acs
S1701ACS021011,acs
S1701ACS021013,acs
S1701ACS021015,acs
S1701ACS021017,acs
S1701ACS021019,acs
S1701ACS021021,acs
S1701ACS021023,acs
S1701ACS021025,acs
S1701ACS021027,acs
S1701ACS021029,acs
S1701ACS021031,acs
S1701ACS021033,acs
S1701ACS021035,acs
S1701ACS021037,acs
S1701ACS021039,acs
S1701ACS021041,acs
S1701ACS021043,acs
S1701ACS021045,acs
S1701ACS021047,acs
S1701ACS021049,acs
S1701ACS021051,acs
S1701ACS021053,acs
S1701ACS021055,acs
S1701ACS021057,acs
S1701ACS021059,acs
S1701ACS021061,acs
S1701ACS021063,acs
S1701ACS021065,acs
S1701ACS021067,acs
S1701ACS021069,acs
S1701ACS021071,acs
S1701ACS021073,acs
S1701ACS021075,acs
S1701ACS021077,acs
S1701ACS021079,acs
S1701ACS021081,acs
S1701ACS021083,acs
S1701ACS021085,acs
S1701ACS021087,acs
S1701ACS021089,acs
S1701ACS021091,acs
S1701ACS021093,acs
S1701ACS021095,acs
S1701ACS021097,acs
S1701ACS021099,acs
S1701ACS021101,acs
S1701ACS021103,acs
S1701ACS021105,acs
S1701ACS021107,acs
S1701ACS021109,acs
S1701ACS021111,acs
S1701ACS021113,acs
S1701ACS021115,acs
S1701ACS021117,acs
S1701ACS021119,acs
S1701ACS021121,acs
S1701ACS021123,acs
S1701ACS021125,acs
S1701ACS021127,acs
S1701ACS021129,acs
S1701ACS021131,acs
S1701ACS021133,acs
S1701ACS021135,acs
S1701ACS021137,acs
S1701ACS021139,acs
S1701ACS021141,acs
S1701ACS021143,acs
S1701ACS021145,acs
S1701ACS021147,acs
S1701ACS021149,acs
S1701ACS021151,acs
S1701ACS021153,acs
S1701ACS021155,acs
S1701ACS021157,acs
S1701ACS021159,acs
S1701ACS021161,acs
S1701ACS021163,acs
S1701ACS021165,acs
S1701ACS021167,acs
S1701ACS021169,acs
S1701ACS021171,acs
S1701ACS021173,acs
S1701ACS021175,acs
S1701ACS021177,acs
S1701ACS021179,acs
S1701ACS021181,acs
S1701ACS021183,acs
S1701ACS021187,acs
S1701ACS021189,acs
S1701ACS021191,acs
S1701ACS021193,acs
S1701ACS021195,acs
S1701ACS021197,acs
S1701ACS021199,acs
S1701ACS021201,acs
S1701ACS021203,acs
S1701ACS021205,acs
S1701ACS021207,acs
S1701ACS021209,acs
S1701ACS021211,acs
S1701ACS021213,acs
S1701ACS021215,acs
S1701ACS021217,acs
S1701ACS021219,acs
S1701ACS021221,acs
S1701ACS021223,acs
S1701ACS021225,acs
S1701ACS021227,acs
S1701ACS021229,acs
S1701ACS021231,acs
S1701ACS021233,acs
S1701ACS021235,acs
S1701ACS021237,acs
S1701ACS022001,acs
S1701ACS022003,acs
S1701ACS022005,acs
S1701ACS022007,acs
S1701ACS022009,acs
S1701ACS022011,acs
S1701ACS022013,acs
S1701ACS022015,acs
S1701ACS022017,acs
S1701ACS022019,acs
S1701ACS022021,acs
S1701ACS022023,acs
S1701ACS022025,acs
S1701ACS022027,acs
S1701ACS022029,acs
S1701ACS022035,acs
S1701ACS022037,acs
S1701ACS022039,acs
S1701ACS022041,acs
S1701ACS022043,acs
S1701ACS022045,acs
S1701ACS022047,acs
S1701ACS022049,acs
S1701ACS022051,acs
S1701ACS022053,acs
S1701ACS022055,acs
S1701ACS022057,acs
S1701ACS022059,acs
S1701ACS022061,acs
S1701ACS022063,acs
S1701ACS022065,acs
S1701ACS022067,acs
S1701ACS022069,acs
S1701ACS022071,acs
S1701ACS022075,acs
S1701ACS022077,acs
S1701ACS022079,acs
S1701ACS022081,acs
S1701ACS022083,acs
S1701ACS022085,acs
S1701ACS022087,acs
S1701ACS022089,acs
S1701ACS022091,acs
S1701ACS022093,acs
S1701ACS022095,acs
S1701ACS022097,acs
S1701ACS022099,acs
S1701ACS022101,acs
S1701ACS022105,acs
S1701ACS022107,acs
S1701ACS022109,acs
S1701ACS022111,acs
S1701ACS022113,acs
