Percent of Population Below the Poverty Level in  Autauga County, AL
Percent of Population Below the Poverty Level in  Baldwin County, AL
Percent of Population Below the Poverty Level in  Barbour County, AL
Percent of Population Below the Poverty Level in  Bibb County, AL
Percent of Population Below the Poverty Level in  Blount County, AL
Percent of Population Below the Poverty Level in  Bullock County, AL
Percent of Population Below the Poverty Level in  Butler County, AL
Percent of Population Below the Poverty Level in  Calhoun County, AL
Percent of Population Below the Poverty Level in  Chambers County, AL
Percent of Population Below the Poverty Level in  Cherokee County, AL
Percent of Population Below the Poverty Level in  Chilton County, AL
Percent of Population Below the Poverty Level in  Choctaw County, AL
Percent of Population Below the Poverty Level in  Clarke County, AL
Percent of Population Below the Poverty Level in  Clay County, AL
Percent of Population Below the Poverty Level in  Cleburne County, AL
Percent of Population Below the Poverty Level in  Coffee County, AL
Percent of Population Below the Poverty Level in  Colbert County, AL
Percent of Population Below the Poverty Level in  Conecuh County, AL
Percent of Population Below the Poverty Level in  Coosa County, AL
Percent of Population Below the Poverty Level in  Covington County, AL
Percent of Population Below the Poverty Level in  Crenshaw County, AL
Percent of Population Below the Poverty Level in  Cullman County, AL
Percent of Population Below the Poverty Level in  Dale County, AL
Percent of Population Below the Poverty Level in  Dallas County, AL
Percent of Population Below the Poverty Level in  DeKalb County, AL
Percent of Population Below the Poverty Level in  Elmore County, AL
Percent of Population Below the Poverty Level in  Escambia County, AL
Percent of Population Below the Poverty Level in  Etowah County, AL
Percent of Population Below the Poverty Level in  Fayette County, AL
Percent of Population Below the Poverty Level in  Franklin County, AL
Percent of Population Below the Poverty Level in  Geneva County, AL
Percent of Population Below the Poverty Level in  Greene County, AL
Percent of Population Below the Poverty Level in  Hale County, AL
Percent of Population Below the Poverty Level in  Henry County, AL
Percent of Population Below the Poverty Level in  Houston County, AL
Percent of Population Below the Poverty Level in  Jackson County, AL
Percent of Population Below the Poverty Level in  Jefferson County, AL
Percent of Population Below the Poverty Level in  Lamar County, AL
Percent of Population Below the Poverty Level in  Lauderdale County, AL
Percent of Population Below the Poverty Level in  Lawrence County, AL
Percent of Population Below the Poverty Level in  Lee County, AL
Percent of Population Below the Poverty Level in  Limestone County, AL
Percent of Population Below the Poverty Level in  Lowndes County, AL
Percent of Population Below the Poverty Level in  Macon County, AL
Percent of Population Below the Poverty Level in  Madison County, AL
Percent of Population Below the Poverty Level in  Marengo County, AL
Percent of Population Below the Poverty Level in  Marion County, AL
Percent of Population Below the Poverty Level in  Marshall County, AL
Percent of Population Below the Poverty Level in  Mobile County, AL
Percent of Population Below the Poverty Level in  Monroe County, AL
Percent of Population Below the Poverty Level in  Montgomery County, AL
Percent of Population Below the Poverty Level in  Morgan County, AL
Percent of Population Below the Poverty Level in  Perry County, AL
Percent of Population Below the Poverty Level in  Pickens County, AL
Percent of Population Below the Poverty Level in  Pike County, AL
Percent of Population Below the Poverty Level in  Randolph County, AL
Percent of Population Below the Poverty Level in  Russell County, AL
Percent of Population Below the Poverty Level in  St. Clair County, AL
Percent of Population Below the Poverty Level in  Shelby County, AL
Percent of Population Below the Poverty Level in  Sumter County, AL
Percent of Population Below the Poverty Level in  Talladega County, AL
Percent of Population Below the Poverty Level in  Tallapoosa County, AL
Percent of Population Below the Poverty Level in  Tuscaloosa County, AL
Percent of Population Below the Poverty Level in  Walker County, AL
Percent of Population Below the Poverty Level in  Washington County, AL
Percent of Population Below the Poverty Level in  Wilcox County, AL
Percent of Population Below the Poverty Level in  Winston County, AL
Percent of Population Below the Poverty Level in  Aleutians East Borough, AK
Percent of Population Below the Poverty Level in  Aleutians West Census Area, AK
Percent of Population Below the Poverty Level in  Anchorage Borough/municipality, AK
Percent of Population Below the Poverty Level in  Bethel Census Area, AK
Percent of Population Below the Poverty Level in  Bristol Bay Borough, AK
Percent of Population Below the Poverty Level in  Denali Borough, AK
Percent of Population Below the Poverty Level in  Dillingham Census Area, AK
Percent of Population Below the Poverty Level in  Fairbanks North Star Borough, AK
Percent of Population Below the Poverty Level in  Haines Borough, AK
Percent of Population Below the Poverty Level in  Hoonah-Angoon Census Area, AK
Percent of Population Below the Poverty Level in  Juneau City and Borough, AK
Percent of Population Below the Poverty Level in  Kenai Peninsula Borough, AK
Percent of Population Below the Poverty Level in  Ketchikan Gateway Borough, AK
Percent of Population Below the Poverty Level in  Kodiak Island Borough, AK
Percent of Population Below the Poverty Level in  Kusilvak Census Area, AK
Percent of Population Below the Poverty Level in  Lake and Peninsula Borough, AK
Percent of Population Below the Poverty Level in  Matanuska-Susitna Borough, AK
Percent of Population Below the Poverty Level in  Nome Census Area, AK
Percent of Population Below the Poverty Level in  North Slope Borough, AK
Percent of Population Below the Poverty Level in  Northwest Arctic Borough, AK
Percent of Population Below the Poverty Level in  Petersburg Census Area, AK
Percent of Population Below the Poverty Level in  Prince of Wales-Hyder Census Area, AK
Percent of Population Below the Poverty Level in  Sitka City and Borough, AK
Percent of Population Below the Poverty Level in  Skagway Municipality, AK
Percent of Population Below the Poverty Level in  Southeast Fairbanks Census Area, AK
Percent of Population Below the Poverty Level in  Valdez-Cordova Census Area, AK
Percent of Population Below the Poverty Level in  Wade Hampton Census Area, AK
Percent of Population Below the Poverty Level in  Wrangell City and Borough, AK
Percent of Population Below the Poverty Level in  Yakutat City and Borough, AK
Percent of Population Below the Poverty Level in  Yukon-Koyukuk Census Area, AK
Percent of Population Below the Poverty Level in  Apache County, AZ
Percent of Population Below the Poverty Level in  Cochise County, AZ
Percent of Population Below the Poverty Level in  Coconino County, AZ
Percent of Population Below the Poverty Level in  Gila County, AZ
Percent of Population Below the Poverty Level in  Graham County, AZ
Percent of Population Below the Poverty Level in  Greenlee County, AZ
Percent of Population Below the Poverty Level in  La Paz County, AZ
Percent of Population Below the Poverty Level in  Maricopa County, AZ
Percent of Population Below the Poverty Level in  Mohave County, AZ
Percent of Population Below the Poverty Level in  Navajo County, AZ
Percent of Population Below the Poverty Level in  Pima County, AZ
Percent of Population Below the Poverty Level in  Pinal County, AZ
Percent of Population Below the Poverty Level in  Santa Cruz County, AZ
Percent of Population Below the Poverty Level in  Yavapai County, AZ
Percent of Population Below the Poverty Level in  Yuma County, AZ
Percent of Population Below the Poverty Level in  Arkansas County, AR
Percent of Population Below the Poverty Level in  Ashley County, AR
Percent of Population Below the Poverty Level in  Baxter County, AR
Percent of Population Below the Poverty Level in  Benton County, AR
Percent of Population Below the Poverty Level in  Boone County, AR
Percent of Population Below the Poverty Level in  Bradley County, AR
Percent of Population Below the Poverty Level in  Calhoun County, AR
Percent of Population Below the Poverty Level in  Carroll County, AR
Percent of Population Below the Poverty Level in  Chicot County, AR
Percent of Population Below the Poverty Level in  Clark County, AR
Percent of Population Below the Poverty Level in  Clay County, AR
Percent of Population Below the Poverty Level in  Cleburne County, AR
Percent of Population Below the Poverty Level in  Cleveland County, AR
Percent of Population Below the Poverty Level in  Columbia County, AR
Percent of Population Below the Poverty Level in  Conway County, AR
Percent of Population Below the Poverty Level in  Craighead County, AR
Percent of Population Below the Poverty Level in  Crawford County, AR
Percent of Population Below the Poverty Level in  Crittenden County, AR
Percent of Population Below the Poverty Level in  Cross County, AR
Percent of Population Below the Poverty Level in  Dallas County, AR
Percent of Population Below the Poverty Level in  Desha County, AR
Percent of Population Below the Poverty Level in  Drew County, AR
Percent of Population Below the Poverty Level in  Faulkner County, AR
Percent of Population Below the Poverty Level in  Franklin County, AR
Percent of Population Below the Poverty Level in  Fulton County, AR
Percent of Population Below the Poverty Level in  Garland County, AR
Percent of Population Below the Poverty Level in  Grant County, AR
Percent of Population Below the Poverty Level in  Greene County, AR
Percent of Population Below the Poverty Level in  Hempstead County, AR
Percent of Population Below the Poverty Level in  Hot Spring County, AR
Percent of Population Below the Poverty Level in  Howard County, AR
Percent of Population Below the Poverty Level in  Independence County, AR
Percent of Population Below the Poverty Level in  Izard County, AR
Percent of Population Below the Poverty Level in  Jackson County, AR
Percent of Population Below the Poverty Level in  Jefferson County, AR
Percent of Population Below the Poverty Level in  Johnson County, AR
Percent of Population Below the Poverty Level in  Lafayette County, AR
Percent of Population Below the Poverty Level in  Lawrence County, AR
Percent of Population Below the Poverty Level in  Lee County, AR
Percent of Population Below the Poverty Level in  Lincoln County, AR
Percent of Population Below the Poverty Level in  Little River County, AR
Percent of Population Below the Poverty Level in  Logan County, AR
Percent of Population Below the Poverty Level in  Lonoke County, AR
Percent of Population Below the Poverty Level in  Madison County, AR
Percent of Population Below the Poverty Level in  Marion County, AR
Percent of Population Below the Poverty Level in  Miller County, AR
Percent of Population Below the Poverty Level in  Mississippi County, AR
Percent of Population Below the Poverty Level in  Monroe County, AR
Percent of Population Below the Poverty Level in  Montgomery County, AR
Percent of Population Below the Poverty Level in  Nevada County, AR
Percent of Population Below the Poverty Level in  Newton County, AR
Percent of Population Below the Poverty Level in  Ouachita County, AR
