"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"1999"	"1999"	177	41208	429.5
	"Autauga County, AL"	"01001"	"2000"	"2000"	185	41904	441.5
	"Autauga County, AL"	"01001"	"2001"	"2001"	181	43063	420.3
	"Autauga County, AL"	"01001"	"2002"	"2002"	213	44030	483.8
	"Autauga County, AL"	"01001"	"2003"	"2003"	224	44859	499.3
	"Autauga County, AL"	"01001"	"2004"	"2004"	212	46304	457.8
	"Autauga County, AL"	"01001"	"2005"	"2005"	216	47548	454.3
	"Autauga County, AL"	"01001"	"2006"	"2006"	242	49092	493.0
	"Autauga County, AL"	"01001"	"2007"	"2007"	217	50125	432.9
	"Autauga County, AL"	"01001"	"2008"	"2008"	262	50937	514.4
	"Autauga County, AL"	"01001"	"2009"	"2009"	233	51675	450.9
	"Autauga County, AL"	"01001"	"2010"	"2010"	234	52038	449.7
	"Autauga County, AL"	"01001"	"2011"	"2011"	260	52568	494.6
	"Autauga County, AL"	"01001"	"2012"	"2012"	260	52337	496.8
	"Autauga County, AL"	"01001"	"2013"	"2013"	289	52097	554.7
	"Autauga County, AL"	"01001"	"2014"	"2014"	281	52202	538.3
	"Autauga County, AL"	"01001"	"2015"	"2015"	281	52124	539.1
	"Baldwin County, AL"	"01003"	"1999"	"1999"	615	128419	478.9
	"Baldwin County, AL"	"01003"	"2000"	"2000"	609	131069	464.6
	"Baldwin County, AL"	"01003"	"2001"	"2001"	671	135052	496.8
	"Baldwin County, AL"	"01003"	"2002"	"2002"	676	137819	490.5
	"Baldwin County, AL"	"01003"	"2003"	"2003"	673	140920	477.6
	"Baldwin County, AL"	"01003"	"2004"	"2004"	686	145414	471.8
	"Baldwin County, AL"	"01003"	"2005"	"2005"	714	151030	472.8
	"Baldwin County, AL"	"01003"	"2006"	"2006"	748	156588	477.7
	"Baldwin County, AL"	"01003"	"2007"	"2007"	757	160489	471.7
	"Baldwin County, AL"	"01003"	"2008"	"2008"	723	163646	441.8
	"Baldwin County, AL"	"01003"	"2009"	"2009"	774	166964	463.6
	"Baldwin County, AL"	"01003"	"2010"	"2010"	828	169500	488.5
	"Baldwin County, AL"	"01003"	"2011"	"2011"	837	173361	482.8
	"Baldwin County, AL"	"01003"	"2012"	"2012"	795	176609	450.1
	"Baldwin County, AL"	"01003"	"2013"	"2013"	874	180816	483.4
	"Baldwin County, AL"	"01003"	"2014"	"2014"	904	184837	489.1
	"Baldwin County, AL"	"01003"	"2015"	"2015"	962	188252	511.0
	"Barbour County, AL"	"01005"	"1999"	"1999"	137	27040	506.7
	"Barbour County, AL"	"01005"	"2000"	"2000"	140	27208	514.6
	"Barbour County, AL"	"01005"	"2001"	"2001"	167	27068	617.0
	"Barbour County, AL"	"01005"	"2002"	"2002"	145	26905	538.9
	"Barbour County, AL"	"01005"	"2003"	"2003"	133	26852	495.3
	"Barbour County, AL"	"01005"	"2004"	"2004"	140	26519	527.9
	"Barbour County, AL"	"01005"	"2005"	"2005"	160	26296	608.5
	"Barbour County, AL"	"01005"	"2006"	"2006"	124	26156	474.1
	"Barbour County, AL"	"01005"	"2007"	"2007"	119	26025	457.3
	"Barbour County, AL"	"01005"	"2008"	"2008"	123	26058	472.0
	"Barbour County, AL"	"01005"	"2009"	"2009"	159	25983	611.9
	"Barbour County, AL"	"01005"	"2010"	"2010"	140	25786	542.9
	"Barbour County, AL"	"01005"	"2011"	"2011"	142	25561	555.5
	"Barbour County, AL"	"01005"	"2012"	"2012"	132	25477	518.1
	"Barbour County, AL"	"01005"	"2013"	"2013"	136	25253	538.5
	"Barbour County, AL"	"01005"	"2014"	"2014"	145	25047	578.9
	"Barbour County, AL"	"01005"	"2015"	"2015"	144	24713	582.7
	"Bibb County, AL"	"01007"	"1999"	"1999"	122	19476	626.4
	"Bibb County, AL"	"01007"	"2000"	"2000"	99	19744	501.4
	"Bibb County, AL"	"01007"	"2001"	"2001"	108	19803	545.4
	"Bibb County, AL"	"01007"	"2002"	"2002"	114	20013	569.6
	"Bibb County, AL"	"01007"	"2003"	"2003"	110	20241	543.5
	"Bibb County, AL"	"01007"	"2004"	"2004"	115	20575	558.9
	"Bibb County, AL"	"01007"	"2005"	"2005"	126	20900	602.9
	"Bibb County, AL"	"01007"	"2006"	"2006"	132	20934	630.6
	"Bibb County, AL"	"01007"	"2007"	"2007"	107	21257	503.4
	"Bibb County, AL"	"01007"	"2008"	"2008"	139	21509	646.2
	"Bibb County, AL"	"01007"	"2009"	"2009"	122	21745	561.0
	"Bibb County, AL"	"01007"	"2010"	"2010"	129	21732	593.6
	"Bibb County, AL"	"01007"	"2011"	"2011"	139	21524	645.8
	"Bibb County, AL"	"01007"	"2012"	"2012"	139	21406	649.4
	"Bibb County, AL"	"01007"	"2013"	"2013"	136	21249	640.0
	"Bibb County, AL"	"01007"	"2014"	"2014"	132	21219	622.1
	"Bibb County, AL"	"01007"	"2015"	"2015"	128	21215	603.3
	"Blount County, AL"	"01009"	"1999"	"1999"	206	47495	433.7
	"Blount County, AL"	"01009"	"2000"	"2000"	224	48232	464.4
	"Blount County, AL"	"01009"	"2001"	"2001"	228	48994	465.4
	"Blount County, AL"	"01009"	"2002"	"2002"	238	49676	479.1
	"Blount County, AL"	"01009"	"2003"	"2003"	261	50585	516.0
	"Blount County, AL"	"01009"	"2004"	"2004"	283	51156	553.2
	"Blount County, AL"	"01009"	"2005"	"2005"	265	51537	514.2
	"Blount County, AL"	"01009"	"2006"	"2006"	239	52329	456.7
	"Blount County, AL"	"01009"	"2007"	"2007"	252	53058	475.0
	"Blount County, AL"	"01009"	"2008"	"2008"	290	53828	538.8
	"Blount County, AL"	"01009"	"2009"	"2009"	271	54007	501.8
	"Blount County, AL"	"01009"	"2010"	"2010"	265	53962	491.1
	"Blount County, AL"	"01009"	"2011"	"2011"	302	54157	557.6
	"Blount County, AL"	"01009"	"2012"	"2012"	294	54107	543.4
	"Blount County, AL"	"01009"	"2013"	"2013"	280	53976	518.7
	"Blount County, AL"	"01009"	"2014"	"2014"	332	53784	617.3
	"Blount County, AL"	"01009"	"2015"	"2015"	304	53666	566.5
	"Bullock County, AL"	"01011"	"1999"	"1999"	62	10897	569.0
	"Bullock County, AL"	"01011"	"2000"	"2000"	62	10865	570.6
	"Bullock County, AL"	"01011"	"2001"	"2001"	75	10540	711.6
	"Bullock County, AL"	"01011"	"2002"	"2002"	61	10420	585.4
	"Bullock County, AL"	"01011"	"2003"	"2003"	55	10515	523.1
	"Bullock County, AL"	"01011"	"2004"	"2004"	68	10293	660.6
	"Bullock County, AL"	"01011"	"2005"	"2005"	69	10285	670.9
	"Bullock County, AL"	"01011"	"2006"	"2006"	76	10090	753.2
	"Bullock County, AL"	"01011"	"2007"	"2007"	69	10330	668.0
	"Bullock County, AL"	"01011"	"2008"	"2008"	56	10285	544.5
	"Bullock County, AL"	"01011"	"2009"	"2009"	62	10336	599.8
	"Bullock County, AL"	"01011"	"2010"	"2010"	74	10280	719.8
	"Bullock County, AL"	"01011"	"2011"	"2011"	58	9987	580.8
	"Bullock County, AL"	"01011"	"2012"	"2012"	48	9949	482.5
	"Bullock County, AL"	"01011"	"2013"	"2013"	61	9982	611.1
	"Bullock County, AL"	"01011"	"2014"	"2014"	71	10160	698.8
	"Bullock County, AL"	"01011"	"2015"	"2015"	65	10002	649.9
	"Butler County, AL"	"01013"	"1999"	"1999"	129	19856	649.7
	"Butler County, AL"	"01013"	"2000"	"2000"	126	19665	640.7
	"Butler County, AL"	"01013"	"2001"	"2001"	128	19360	661.2
	"Butler County, AL"	"01013"	"2002"	"2002"	128	19088	670.6
	"Butler County, AL"	"01013"	"2003"	"2003"	138	19076	723.4
	"Butler County, AL"	"01013"	"2004"	"2004"	125	19142	653.0
	"Butler County, AL"	"01013"	"2005"	"2005"	144	19124	753.0
	"Butler County, AL"	"01013"	"2006"	"2006"	128	19108	669.9
	"Butler County, AL"	"01013"	"2007"	"2007"	112	19229	582.5
	"Butler County, AL"	"01013"	"2008"	"2008"	141	19278	731.4
	"Butler County, AL"	"01013"	"2009"	"2009"	134	19198	698.0
	"Butler County, AL"	"01013"	"2010"	"2010"	114	19287	591.1
	"Butler County, AL"	"01013"	"2011"	"2011"	124	19003	652.5
	"Butler County, AL"	"01013"	"2012"	"2012"	137	18747	730.8
	"Butler County, AL"	"01013"	"2013"	"2013"	117	18580	629.7
	"Butler County, AL"	"01013"	"2014"	"2014"	147	18584	791.0
	"Butler County, AL"	"01013"	"2015"	"2015"	130	18436	705.1
	"Calhoun County, AL"	"01015"	"1999"	"1999"	611	108096	565.2
	"Calhoun County, AL"	"01015"	"2000"	"2000"	685	105327	650.4
	"Calhoun County, AL"	"01015"	"2001"	"2001"	645	104390	617.9
	"Calhoun County, AL"	"01015"	"2002"	"2002"	576	104773	549.8
	"Calhoun County, AL"	"01015"	"2003"	"2003"	635	105682	600.9
	"Calhoun County, AL"	"01015"	"2004"	"2004"	621	106424	583.5
	"Calhoun County, AL"	"01015"	"2005"	"2005"	728	107285	678.6
	"Calhoun County, AL"	"01015"	"2006"	"2006"	686	108233	633.8
	"Calhoun County, AL"	"01015"	"2007"	"2007"	692	108959	635.1
	"Calhoun County, AL"	"01015"	"2008"	"2008"	655	109911	595.9
	"Calhoun County, AL"	"01015"	"2009"	"2009"	674	110894	607.8
	"Calhoun County, AL"	"01015"	"2010"	"2010"	713	111019	642.2
	"Calhoun County, AL"	"01015"	"2011"	"2011"	693	110173	629.0
	"Calhoun County, AL"	"01015"	"2012"	"2012"	675	109621	615.8
	"Calhoun County, AL"	"01015"	"2013"	"2013"	713	108926	654.6
	"Calhoun County, AL"	"01015"	"2014"	"2014"	745	108341	687.6
	"Calhoun County, AL"	"01015"	"2015"	"2015"	773	107882	716.5
	"Chambers County, AL"	"01017"	"1999"	"1999"	212	33608	630.8
	"Chambers County, AL"	"01017"	"2000"	"2000"	217	33649	644.9
	"Chambers County, AL"	"01017"	"2001"	"2001"	198	33384	593.1
	"Chambers County, AL"	"01017"	"2002"	"2002"	188	33174	566.7
	"Chambers County, AL"	"01017"	"2003"	"2003"	189	32911	574.3
	"Chambers County, AL"	"01017"	"2004"	"2004"	195	32768	595.1
	"Chambers County, AL"	"01017"	"2005"	"2005"	205	32592	629.0
	"Chambers County, AL"	"01017"	"2006"	"2006"	210	32302	650.1
	"Chambers County, AL"	"01017"	"2007"	"2007"	234	32258	725.4
	"Chambers County, AL"	"01017"	"2008"	"2008"	216	31952	676.0
	"Chambers County, AL"	"01017"	"2009"	"2009"	207	31780	651.4
	"Chambers County, AL"	"01017"	"2010"	"2010"	220	31617	695.8
	"Chambers County, AL"	"01017"	"2011"	"2011"	214	31384	681.9
	"Chambers County, AL"	"01017"	"2012"	"2012"	252	31475	800.6
