series_id,tag
DMPCRATE002110,acs
DMPCRATE008113,acs
DMPCRATE008121,acs
DMPCRATE009005,acs
DMPCRATE013311,acs
DMPCRATE016061,acs
DMPCRATE019127,acs
DMPCRATE026049,acs
DMPCRATE027161,acs
DMPCRATE033005,acs
DMPCRATE033011,acs
DMPCRATE034013,acs
DMPCRATE035007,acs
DMPCRATE035029,acs
DMPCRATE036031,acs
DMPCRATE036085,acs
DMPCRATE036103,acs
DMPCRATE036119,acs
DMPCRATE037003,acs
DMPCRATE037009,acs
DMPCRATE037063,acs
DMPCRATE037071,acs
DMPCRATE037075,acs
DMPCRATE037095,acs
DMPCRATE037099,acs
DMPCRATE037119,acs
DMPCRATE037127,acs
DMPCRATE037129,acs
DMPCRATE037185,acs
DMPCRATE038047,acs
DMPCRATE038051,acs
DMPCRATE038069,acs
DMPCRATE038075,acs
DMPCRATE038077,acs
DMPCRATE038089,acs
DMPCRATE038101,acs
DMPCRATE039013,acs
DMPCRATE039017,acs
DMPCRATE039021,acs
DMPCRATE039023,acs
DMPCRATE039025,acs
DMPCRATE039029,acs
DMPCRATE039033,acs
DMPCRATE039055,acs
DMPCRATE039063,acs
DMPCRATE039065,acs
DMPCRATE039075,acs
DMPCRATE039079,acs
DMPCRATE039091,acs
DMPCRATE039103,acs
DMPCRATE039107,acs
DMPCRATE039127,acs
DMPCRATE039155,acs
DMPCRATE039159,acs
DMPCRATE039167,acs
DMPCRATE040025,acs
DMPCRATE040075,acs
DMPCRATE040077,acs
DMPCRATE040089,acs
DMPCRATE040093,acs
DMPCRATE040105,acs
DMPCRATE040119,acs
DMPCRATE040141,acs
DMPCRATE040143,acs
DMPCRATE041005,acs
DMPCRATE041063,acs
DMPCRATE041067,acs
DMPCRATE042009,acs
DMPCRATE042017,acs
DMPCRATE042025,acs
DMPCRATE042075,acs
DMPCRATE042087,acs
DMPCRATE042089,acs
DMPCRATE042095,acs
DMPCRATE045009,acs
DMPCRATE045037,acs
DMPCRATE046067,acs
DMPCRATE046069,acs
DMPCRATE047049,acs
DMPCRATE047107,acs
DMPCRATE047109,acs
DMPCRATE047119,acs
DMPCRATE048045,acs
DMPCRATE048083,acs
DMPCRATE048181,acs
DMPCRATE048201,acs
DMPCRATE048231,acs
DMPCRATE048239,acs
DMPCRATE048241,acs
DMPCRATE048259,acs
DMPCRATE048299,acs
DMPCRATE048321,acs
DMPCRATE048323,acs
DMPCRATE048377,acs
DMPCRATE048455,acs
DMPCRATE048457,acs
DMPCRATE051071,acs
DMPCRATE051115,acs
DMPCRATE051530,acs
DMPCRATE051710,acs
DMPCRATE053005,acs
DMPCRATE053035,acs
DMPCRATE054105,acs
DMPCRATE002230,acs
DMPCRATE002275,acs
DMPCRATE006075,acs
DMPCRATE008014,acs
DMPCRATE042101,acs
DMPCRATE001001,acs
DMPCRATE001003,acs
DMPCRATE001005,acs
DMPCRATE001007,acs
DMPCRATE001009,acs
DMPCRATE001011,acs
DMPCRATE001013,acs
DMPCRATE001015,acs
DMPCRATE001017,acs
DMPCRATE001019,acs
DMPCRATE001021,acs
DMPCRATE002220,acs
DMPCRATE015003,acs
DMPCRATE001023,acs
DMPCRATE001025,acs
DMPCRATE001027,acs
DMPCRATE001029,acs
DMPCRATE001031,acs
DMPCRATE001033,acs
DMPCRATE001035,acs
DMPCRATE001037,acs
DMPCRATE001039,acs
DMPCRATE001041,acs
DMPCRATE001043,acs
DMPCRATE001045,acs
DMPCRATE001047,acs
DMPCRATE001049,acs
DMPCRATE001051,acs
DMPCRATE001053,acs
DMPCRATE001055,acs
DMPCRATE001057,acs
DMPCRATE001059,acs
DMPCRATE001061,acs
DMPCRATE001063,acs
DMPCRATE001065,acs
DMPCRATE001067,acs
DMPCRATE001069,acs
DMPCRATE001071,acs
DMPCRATE001073,acs
DMPCRATE001075,acs
DMPCRATE001077,acs
DMPCRATE001079,acs
DMPCRATE001081,acs
DMPCRATE001083,acs
DMPCRATE001085,acs
DMPCRATE001087,acs
DMPCRATE001089,acs
DMPCRATE001091,acs
DMPCRATE001093,acs
DMPCRATE001095,acs
DMPCRATE001097,acs
DMPCRATE001099,acs
DMPCRATE001101,acs
DMPCRATE001103,acs
DMPCRATE001105,acs
DMPCRATE001107,acs
DMPCRATE001109,acs
DMPCRATE001111,acs
DMPCRATE001113,acs
DMPCRATE001115,acs
DMPCRATE001117,acs
DMPCRATE001119,acs
DMPCRATE001121,acs
DMPCRATE001123,acs
DMPCRATE001125,acs
DMPCRATE001127,acs
DMPCRATE001129,acs
DMPCRATE001131,acs
DMPCRATE001133,acs
DMPCRATE002013,acs
DMPCRATE002016,acs
DMPCRATE002050,acs
DMPCRATE002060,acs
DMPCRATE002068,acs
DMPCRATE002070,acs
DMPCRATE002090,acs
DMPCRATE002100,acs
DMPCRATE002105,acs
DMPCRATE002122,acs
DMPCRATE002130,acs
DMPCRATE002150,acs
DMPCRATE002164,acs
DMPCRATE002170,acs
DMPCRATE002180,acs
DMPCRATE002185,acs
DMPCRATE002188,acs
DMPCRATE002195,acs
DMPCRATE002198,acs
DMPCRATE002240,acs
DMPCRATE002261,acs
DMPCRATE002270,acs
DMPCRATE002282,acs
DMPCRATE002290,acs
DMPCRATE004001,acs
DMPCRATE004003,acs
DMPCRATE004005,acs
DMPCRATE004007,acs
DMPCRATE004009,acs
DMPCRATE004011,acs
DMPCRATE004012,acs
DMPCRATE004013,acs
DMPCRATE004015,acs
DMPCRATE004017,acs
DMPCRATE004019,acs
DMPCRATE004021,acs
DMPCRATE004023,acs
DMPCRATE004025,acs
DMPCRATE004027,acs
DMPCRATE005001,acs
DMPCRATE005003,acs
DMPCRATE005005,acs
DMPCRATE005007,acs
DMPCRATE005009,acs
DMPCRATE005011,acs
DMPCRATE005013,acs
DMPCRATE005015,acs
DMPCRATE005017,acs
DMPCRATE005019,acs
DMPCRATE005021,acs
DMPCRATE005023,acs
DMPCRATE005025,acs
DMPCRATE005027,acs
DMPCRATE005029,acs
DMPCRATE005031,acs
DMPCRATE005033,acs
DMPCRATE005035,acs
DMPCRATE005037,acs
DMPCRATE005039,acs
DMPCRATE005041,acs
DMPCRATE005043,acs
DMPCRATE005045,acs
DMPCRATE005047,acs
DMPCRATE005049,acs
DMPCRATE005051,acs
DMPCRATE005053,acs
DMPCRATE005055,acs
DMPCRATE005057,acs
DMPCRATE005059,acs
DMPCRATE005061,acs
DMPCRATE005063,acs
DMPCRATE005065,acs
DMPCRATE005067,acs
DMPCRATE005069,acs
DMPCRATE005071,acs
DMPCRATE005073,acs
DMPCRATE005075,acs
DMPCRATE005077,acs
DMPCRATE005079,acs
DMPCRATE005081,acs
DMPCRATE005083,acs
DMPCRATE005085,acs
DMPCRATE005087,acs
DMPCRATE005089,acs
DMPCRATE005091,acs
DMPCRATE005093,acs
DMPCRATE005095,acs
DMPCRATE005097,acs
DMPCRATE005099,acs
DMPCRATE005101,acs
DMPCRATE005103,acs
DMPCRATE005105,acs
DMPCRATE005107,acs
DMPCRATE005109,acs
DMPCRATE005111,acs
DMPCRATE005113,acs
DMPCRATE005115,acs
DMPCRATE005117,acs
DMPCRATE005119,acs
DMPCRATE005121,acs
DMPCRATE005123,acs
DMPCRATE005125,acs
DMPCRATE005127,acs
DMPCRATE005129,acs
DMPCRATE005131,acs
DMPCRATE005133,acs
DMPCRATE005135,acs
DMPCRATE005137,acs
DMPCRATE005139,acs
DMPCRATE005141,acs
DMPCRATE005143,acs
