GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01001,01001,"Autauga County, Alabama",54590,*****,53280,*****,41982,105,9796,168,157,68,439,128,0,28,107,100,799,231,36,47,763,237,1310,*****,1102,110,84,81,12,20,0,28,0,28,105,90,7,11,7,11,0,28
0500000US01003,01003,"Baldwin County, Alabama",183226,*****,175311,*****,153183,87,16922,412,995,251,1347,171,4,8,117,87,2743,497,27,28,2716,497,7915,*****,5076,828,94,135,43,54,0,28,0,28,2528,797,174,173,169,173,5,9
0500000US01005,01005,"Barbour County, Alabama",27469,*****,26104,*****,12865,22,12610,211,25,27,56,64,0,22,16,25,532,193,0,22,532,193,1365,*****,583,267,35,42,0,22,156,227,0,22,554,345,37,57,37,57,0,22
0500000US01007,01007,"Bibb County, Alabama",22769,*****,22350,*****,17058,22,4944,262,80,82,25,33,0,22,0,22,243,245,0,22,243,245,419,*****,401,17,9,17,0,22,0,22,0,22,9,17,0,22,0,22,0,22
0500000US01009,01009,"Blount County, Alabama",57466,*****,52820,*****,51033,35,710,148,119,79,97,66,0,28,22,35,839,165,7,12,832,160,4646,*****,3474,422,44,67,111,161,0,28,0,28,997,399,20,24,16,24,4,6
0500000US01011,01011,"Bullock County, Alabama",10779,*****,10156,543,2405,19,7609,549,24,35,0,19,35,70,0,19,83,68,0,19,83,68,623,543,623,543,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0500000US01013,01013,"Butler County, Alabama",20730,*****,20527,*****,11199,22,8961,72,36,34,183,12,0,22,0,22,148,81,40,64,108,47,203,*****,181,36,0,22,0,22,0,22,0,22,22,36,0,22,0,22,0,22
0500000US01015,01015,"Calhoun County, Alabama",117834,*****,113996,*****,86764,76,24164,282,318,106,787,124,84,95,10,18,1869,312,46,75,1823,300,3838,*****,1641,434,257,214,0,28,40,47,0,28,1690,429,210,171,119,138,91,100
0500000US01017,01017,"Chambers County, Alabama",34228,*****,33673,*****,19869,25,13383,102,17,25,178,23,16,24,0,25,210,99,0,25,210,99,555,*****,302,191,26,60,0,25,0,25,0,25,47,61,180,195,24,41,156,197
0500000US01019,01019,"Cherokee County, Alabama",25917,*****,25584,*****,23848,22,1234,87,163,66,78,6,5,9,0,22,256,112,0,22,256,112,333,*****,226,129,19,28,0,22,0,22,0,22,74,112,14,31,14,31,0,22
0500000US01021,01021,"Chilton County, Alabama",43611,*****,40373,*****,35481,36,4257,91,160,65,92,47,0,25,50,47,333,118,33,56,300,108,3238,*****,2391,438,57,75,0,25,5,8,0,25,785,421,0,25,0,25,0,25
0500000US01023,01023,"Choctaw County, Alabama",13838,*****,13755,95,7664,19,5919,170,0,19,30,33,0,19,0,19,142,140,15,25,127,148,83,95,6,12,16,20,0,19,0,19,0,19,27,44,34,48,34,48,0,19
0500000US01025,01025,"Clarke County, Alabama",25768,*****,25585,120,13879,22,11310,170,122,18,94,22,0,22,0,22,180,126,0,22,180,126,183,120,136,106,0,22,0,22,0,22,0,22,47,51,0,22,0,22,0,22
0500000US01027,01027,"Clay County, Alabama",13828,*****,13427,*****,11070,9,2157,66,25,20,0,19,0,19,0,19,175,72,5,9,170,71,401,*****,262,107,0,19,0,19,0,19,0,19,118,109,21,23,5,10,16,25
0500000US01029,01029,"Cleburne County, Alabama",14905,*****,14592,*****,13852,11,573,66,30,29,0,19,0,19,0,19,137,70,7,11,130,71,313,*****,270,84,0,19,0,19,0,19,0,19,19,54,24,40,7,20,17,33
0500000US01031,01031,"Coffee County, Alabama",49966,*****,46896,*****,36140,46,8579,132,332,78,608,118,0,28,102,74,1135,200,12,16,1123,201,3070,*****,2511,196,84,74,108,87,46,38,0,28,203,110,118,109,75,87,43,63
0500000US01033,01033,"Colbert County, Alabama",54451,*****,53319,*****,43334,30,8706,248,300,97,233,80,8,13,15,26,723,275,19,30,704,274,1132,*****,581,331,24,33,0,28,0,28,0,28,406,377,121,137,117,136,4,7
0500000US01035,01035,"Conecuh County, Alabama",13188,*****,13150,73,6756,19,6130,202,72,114,12,22,0,19,0,19,180,162,0,19,180,162,38,73,38,73,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0500000US01037,01037,"Coosa County, Alabama",11305,*****,11080,*****,7431,19,3558,71,7,11,0,19,0,19,0,19,84,69,0,19,84,69,225,*****,216,18,0,19,0,19,0,19,0,19,9,18,0,19,0,19,0,19
0500000US01039,01039,"Covington County, Alabama",37803,*****,37287,*****,31734,7,4744,117,203,97,116,101,35,52,3,7,452,169,85,102,367,141,516,*****,320,141,10,16,0,25,0,25,0,25,152,149,34,36,18,29,16,25
0500000US01041,01041,"Crenshaw County, Alabama",13971,*****,13758,*****,9932,24,3099,196,74,47,213,19,0,19,76,90,364,203,0,19,364,203,213,*****,210,11,0,19,0,19,0,19,0,19,3,11,0,19,0,19,0,19
0500000US01043,01043,"Cullman County, Alabama",80403,*****,77001,*****,74566,64,743,92,333,106,371,37,32,31,6,10,950,160,53,57,897,153,3402,*****,2612,345,126,117,0,28,0,28,0,28,453,273,211,186,34,37,177,190
0500000US01045,01045,"Dale County, Alabama",50129,*****,47335,*****,35388,315,9491,211,155,63,654,84,74,92,239,315,1334,211,19,22,1315,213,2794,*****,2200,256,343,249,4,5,8,15,0,28,141,87,98,60,15,15,83,58
0500000US01047,01047,"Dallas County, Alabama",43572,*****,43257,*****,12651,25,30027,185,68,75,150,54,8,14,0,25,353,181,6,10,347,180,315,*****,87,62,30,46,0,25,0,25,0,25,190,97,8,14,0,25,8,14
0500000US01049,01049,"DeKalb County, Alabama",70949,*****,61405,*****,57992,28,1162,101,766,215,209,40,5,8,0,28,1271,217,13,27,1258,222,9544,*****,6786,1167,74,84,253,250,0,28,0,28,2156,1072,275,226,24,25,251,227
0500000US01051,01051,"Elmore County, Alabama",79330,*****,77239,*****,59267,63,15916,265,327,73,452,120,0,28,37,61,1240,305,27,24,1213,303,2091,*****,852,343,120,110,0,28,0,28,0,28,1086,384,33,42,33,42,0,28
0500000US01053,01053,"Escambia County, Alabama",38122,*****,37392,*****,23359,19,12265,59,1418,71,138,25,15,22,12,19,185,93,0,25,185,93,730,*****,665,68,15,35,0,25,4,8,0,25,0,25,46,50,26,24,20,40
0500000US01055,01055,"Etowah County, Alabama",104317,*****,100814,*****,82700,33,15704,283,330,130,696,61,46,72,29,32,1309,283,5,7,1304,282,3503,*****,2730,313,41,51,24,33,0,28,0,28,430,267,278,187,113,108,165,155
0500000US01057,01057,"Fayette County, Alabama",17219,*****,17006,*****,14775,19,1937,126,26,29,58,67,0,19,0,19,210,119,0,19,210,119,213,*****,146,60,5,12,12,21,0,19,0,19,0,19,50,58,50,58,0,19
0500000US01059,01059,"Franklin County, Alabama",31664,*****,27015,*****,25283,25,1288,121,157,80,64,68,0,25,0,25,223,129,15,20,208,127,4649,*****,2718,545,181,172,0,25,0,25,0,25,1650,537,100,87,68,90,32,48
0500000US01061,01061,"Geneva County, Alabama",26769,*****,25870,*****,22640,21,2576,223,87,76,30,41,0,22,206,214,331,88,3,4,328,88,899,*****,599,200,56,81,0,22,0,22,0,22,204,183,40,46,30,39,10,21
0500000US01063,01063,"Greene County, Alabama",9067,*****,9067,17,1608,17,7421,36,25,38,13,21,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
0500000US01065,01065,"Hale County, Alabama",15750,*****,15684,79,6241,19,9312,130,32,32,48,71,14,21,0,19,37,36,0,19,37,36,66,79,51,76,15,24,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0500000US01067,01067,"Henry County, Alabama",17275,*****,16886,*****,11676,19,4790,234,0,19,349,224,0,19,0,19,71,52,0,19,71,52,389,*****,212,108,22,41,0,19,0,19,0,19,138,96,17,26,17,26,0,19
0500000US01069,01069,"Houston County, Alabama",101459,*****,98509,*****,69571,63,25997,230,297,63,845,66,16,12,93,61,1690,230,12,9,1678,229,2950,*****,1561,251,55,27,3,5,20,29,2,4,1209,250,100,40,52,31,48,24
0500000US01071,01071,"Jackson County, Alabama",53279,*****,51945,*****,47986,16,1770,112,1037,196,186,33,20,27,9,13,937,251,4,8,933,252,1334,*****,1038,146,0,28,0,28,12,19,0,28,187,123,97,71,45,32,52,67
0500000US01073,01073,"Jefferson County, Alabama",658464,*****,633694,*****,340382,184,276695,544,1181,275,9680,259,52,38,676,263,5028,609,143,78,4885,597,24770,*****,11592,1150,1161,377,57,50,65,88,35,58,11366,1148,494,272,259,195,235,204
