GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01001,01001,"Autauga County, Alabama",53155,*****,51922,*****,41223,49,9473,107,154,82,348,107,0,119,58,51,666,178,4,5,662,177,1233,*****,808,179,35,44,14,21,0,119,0,119,266,136,110,95,61,65,49,65
0500000US01003,01003,"Baldwin County, Alabama",175791,*****,168943,*****,147801,142,16488,408,1066,255,1149,198,6,10,225,127,2208,529,78,68,2130,516,6848,*****,3652,813,125,145,24,39,0,119,0,119,2859,792,188,141,167,140,21,34
0500000US01005,01005,"Barbour County, Alabama",27699,*****,26426,*****,13077,17,12871,132,87,65,46,54,3,5,24,29,318,134,19,22,299,131,1273,*****,682,210,40,48,0,119,0,119,0,119,502,204,49,72,43,71,6,11
0500000US01007,01007,"Bibb County, Alabama",22610,*****,22476,177,18904,665,3450,666,40,49,36,37,0,119,0,119,46,39,0,119,46,39,134,177,134,177,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119
0500000US01009,01009,"Blount County, Alabama",56692,*****,52446,*****,50737,119,655,183,218,149,246,219,0,119,9,14,581,187,0,119,581,187,4246,*****,3201,376,61,66,37,59,0,119,9,15,914,392,24,34,24,34,0,119
0500000US01011,01011,"Bullock County, Alabama",10923,*****,10743,177,2418,119,8101,243,24,37,47,65,64,104,0,119,89,83,0,119,89,83,180,177,171,181,9,15,0,119,0,119,0,119,0,119,0,119,0,119,0,119
0500000US01013,01013,"Butler County, Alabama",20895,*****,20837,74,11435,119,8969,224,28,32,176,159,0,119,0,119,229,164,46,68,183,149,58,74,58,74,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119
0500000US01015,01015,"Calhoun County, Alabama",117149,*****,113594,*****,86996,44,23686,267,513,139,777,117,85,99,41,44,1496,304,0,119,1496,304,3555,*****,1455,377,242,156,0,119,38,33,0,119,1770,393,50,48,32,44,18,24
0500000US01017,01017,"Chambers County, Alabama",34579,*****,34055,*****,20138,16,13527,79,17,26,145,38,0,119,3,5,225,94,9,15,216,92,524,*****,287,160,0,119,0,119,0,119,0,119,54,50,183,155,51,63,132,158
0500000US01019,01019,"Cherokee County, Alabama",25700,*****,25379,*****,23676,119,1202,136,198,69,69,62,32,51,0,119,202,106,0,119,202,106,321,*****,166,76,0,119,0,119,0,119,0,119,121,94,34,47,34,47,0,119
0500000US01021,01021,"Chilton County, Alabama",43121,*****,40315,*****,35475,33,3962,216,152,52,80,36,0,119,54,58,592,211,35,53,557,231,2806,*****,2261,265,90,100,90,141,5,9,0,119,360,214,0,119,0,119,0,119
0500000US01023,01023,"Choctaw County, Alabama",14111,*****,14059,74,7812,119,6060,161,0,119,39,46,0,119,0,119,148,163,25,42,123,157,52,74,11,20,4,7,0,119,0,119,0,119,10,29,27,46,27,46,0,119
0500000US01025,01025,"Clarke County, Alabama",26255,*****,26017,221,14243,39,10966,591,483,561,108,119,0,119,24,39,193,99,0,119,193,99,238,221,208,219,24,39,0,119,0,119,0,119,6,12,0,119,0,119,0,119
0500000US01027,01027,"Clay County, Alabama",14040,*****,13680,*****,11280,119,2160,55,59,48,0,119,0,119,0,119,181,68,0,119,181,68,360,*****,282,58,0,119,0,119,0,119,0,119,65,45,13,28,0,119,13,28
0500000US01029,01029,"Cleburne County, Alabama",14823,*****,14609,203,13780,26,606,204,32,32,2,5,0,119,12,20,177,70,10,17,167,68,214,203,203,199,0,119,0,119,0,119,0,119,11,23,0,119,0,119,0,119
0500000US01031,01031,"Coffee County, Alabama",48349,*****,45637,*****,35316,50,8325,125,348,104,473,104,0,119,80,59,1095,188,28,20,1067,185,2712,*****,2144,210,52,49,69,71,63,66,44,50,234,122,106,90,65,71,41,61
0500000US01033,01033,"Colbert County, Alabama",54446,*****,53365,*****,43572,119,8707,181,337,82,262,119,0,119,16,28,471,192,0,119,471,192,1081,*****,753,193,38,40,0,119,0,119,0,119,137,98,153,150,153,150,0,119
0500000US01035,01035,"Conecuh County, Alabama",13382,*****,13340,56,6930,119,6189,222,122,159,0,119,0,119,0,119,99,163,0,119,99,163,42,56,42,56,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119
0500000US01037,01037,"Coosa County, Alabama",11470,*****,11456,23,7517,119,3874,56,0,119,0,119,0,119,0,119,65,51,0,119,65,51,14,23,0,119,0,119,0,119,0,119,0,119,14,23,0,119,0,119,0,119
0500000US01039,01039,"Covington County, Alabama",37608,*****,37107,*****,31685,55,4837,184,81,49,188,124,51,56,36,55,229,120,0,119,229,120,501,*****,216,129,0,119,0,119,0,119,0,119,271,138,14,24,0,119,14,24
0500000US01041,01041,"Crenshaw County, Alabama",13928,*****,13749,*****,10021,119,2901,232,116,49,531,220,0,119,0,119,180,127,0,119,180,127,179,*****,175,10,0,119,0,119,0,119,0,119,0,119,4,10,0,119,4,10
0500000US01043,01043,"Cullman County, Alabama",79941,*****,76771,*****,74469,29,671,120,543,132,334,36,20,30,0,119,734,173,43,45,691,179,3170,*****,2350,321,58,94,1,2,21,33,0,119,465,267,275,201,83,59,192,201
0500000US01045,01045,"Dale County, Alabama",49730,*****,47124,*****,35461,33,9624,213,114,48,592,56,56,39,36,38,1241,244,0,119,1241,244,2606,*****,1837,276,264,214,7,10,31,36,0,119,351,202,116,74,47,40,69,59
0500000US01047,01047,"Dallas County, Alabama",44066,*****,43754,*****,13161,119,30256,95,37,39,167,24,0,119,0,119,133,99,0,119,133,99,312,*****,65,66,66,67,0,119,0,119,0,119,181,110,0,119,0,119,0,119
0500000US01049,01049,"DeKalb County, Alabama",70038,*****,61464,*****,58127,57,1032,141,912,221,212,43,7,14,41,50,1133,287,105,134,1028,240,8574,*****,6652,934,88,110,177,175,0,119,0,119,1520,929,137,128,10,12,127,127
0500000US01051,01051,"Elmore County, Alabama",77650,*****,75685,*****,58445,16,15514,208,294,73,481,93,0,119,0,119,951,209,24,23,927,210,1965,*****,599,219,97,82,0,119,0,119,0,119,1249,251,20,18,14,18,6,8
0500000US01053,01053,"Escambia County, Alabama",37996,*****,37274,*****,23517,119,11918,111,1384,76,143,24,14,24,0,119,298,135,0,119,298,135,722,*****,548,148,18,29,0,119,4,7,0,119,106,152,46,66,22,29,24,49
0500000US01055,01055,"Etowah County, Alabama",104066,*****,100862,*****,83090,24,15487,349,317,116,616,51,13,20,23,24,1316,364,10,11,1306,368,3204,*****,2347,312,171,158,109,173,0,119,27,42,385,227,165,142,26,50,139,131
0500000US01057,01057,"Fayette County, Alabama",17472,*****,17288,*****,14999,39,1954,94,21,28,31,51,0,119,0,119,283,98,35,39,248,83,184,*****,129,41,0,119,9,15,0,119,0,119,0,119,46,42,31,39,15,17
0500000US01059,01059,"Franklin County, Alabama",31383,*****,27249,*****,25497,119,1272,130,176,72,62,64,0,119,0,119,242,131,0,119,242,131,4134,*****,1895,500,57,67,115,172,0,119,130,204,1842,428,95,106,73,100,22,32
0500000US01061,01061,"Geneva County, Alabama",26541,*****,25691,*****,22544,7,2694,65,50,51,31,35,0,119,5,7,367,76,0,119,367,76,850,*****,610,159,17,21,0,119,0,119,0,119,136,132,87,95,87,95,0,119
0500000US01063,01063,"Greene County, Alabama",9255,*****,9158,153,1663,119,7444,153,31,35,9,15,0,119,0,119,11,19,0,119,11,19,97,153,0,119,0,119,0,119,0,119,0,119,97,153,0,119,0,119,0,119
0500000US01065,01065,"Hale County, Alabama",16168,*****,16111,75,6401,119,9570,85,45,25,37,36,0,119,0,119,58,32,0,119,58,32,57,75,56,75,0,119,0,119,0,119,0,119,0,119,1,119,0,119,1,119
0500000US01067,01067,"Henry County, Alabama",17148,*****,16814,*****,11490,119,4984,226,0,119,320,227,0,119,0,119,20,24,0,119,20,24,334,*****,183,91,37,56,0,119,0,119,0,119,114,91,0,119,0,119,0,119
0500000US01069,01069,"Houston County, Alabama",99029,*****,96421,*****,68671,50,25112,222,422,69,780,66,18,15,63,53,1355,245,10,10,1345,243,2608,*****,1168,230,38,30,29,33,21,26,0,119,1222,230,130,66,76,53,54,34
