White to Non-White Racial Dissimilarity Index for Autauga County, AL
White to Non-White Racial Dissimilarity Index for Baldwin County, AL
White to Non-White Racial Dissimilarity Index for Barbour County, AL
White to Non-White Racial Dissimilarity Index for Bibb County, AL
White to Non-White Racial Dissimilarity Index for Blount County, AL
White to Non-White Racial Dissimilarity Index for Bullock County, AL
White to Non-White Racial Dissimilarity Index for Butler County, AL
White to Non-White Racial Dissimilarity Index for Calhoun County, AL
White to Non-White Racial Dissimilarity Index for Chambers County, AL
White to Non-White Racial Dissimilarity Index for Cherokee County, AL
White to Non-White Racial Dissimilarity Index for Chilton County, AL
White to Non-White Racial Dissimilarity Index for Choctaw County, AL
White to Non-White Racial Dissimilarity Index for Clarke County, AL
White to Non-White Racial Dissimilarity Index for Clay County, AL
White to Non-White Racial Dissimilarity Index for Cleburne County, AL
White to Non-White Racial Dissimilarity Index for Coffee County, AL
White to Non-White Racial Dissimilarity Index for Colbert County, AL
White to Non-White Racial Dissimilarity Index for Conecuh County, AL
White to Non-White Racial Dissimilarity Index for Coosa County, AL
White to Non-White Racial Dissimilarity Index for Covington County, AL
White to Non-White Racial Dissimilarity Index for Crenshaw County, AL
White to Non-White Racial Dissimilarity Index for Cullman County, AL
White to Non-White Racial Dissimilarity Index for Dale County, AL
White to Non-White Racial Dissimilarity Index for Dallas County, AL
White to Non-White Racial Dissimilarity Index for DeKalb County, AL
White to Non-White Racial Dissimilarity Index for Elmore County, AL
White to Non-White Racial Dissimilarity Index for Escambia County, AL
White to Non-White Racial Dissimilarity Index for Etowah County, AL
White to Non-White Racial Dissimilarity Index for Fayette County, AL
White to Non-White Racial Dissimilarity Index for Franklin County, AL
White to Non-White Racial Dissimilarity Index for Geneva County, AL
White to Non-White Racial Dissimilarity Index for Greene County, AL
White to Non-White Racial Dissimilarity Index for Hale County, AL
White to Non-White Racial Dissimilarity Index for Henry County, AL
White to Non-White Racial Dissimilarity Index for Houston County, AL
White to Non-White Racial Dissimilarity Index for Jackson County, AL
White to Non-White Racial Dissimilarity Index for Jefferson County, AL
White to Non-White Racial Dissimilarity Index for Lamar County, AL
White to Non-White Racial Dissimilarity Index for Lauderdale County, AL
White to Non-White Racial Dissimilarity Index for Lawrence County, AL
White to Non-White Racial Dissimilarity Index for Lee County, AL
White to Non-White Racial Dissimilarity Index for Limestone County, AL
White to Non-White Racial Dissimilarity Index for Lowndes County, AL
White to Non-White Racial Dissimilarity Index for Macon County, AL
White to Non-White Racial Dissimilarity Index for Madison County, AL
White to Non-White Racial Dissimilarity Index for Marengo County, AL
White to Non-White Racial Dissimilarity Index for Marion County, AL
White to Non-White Racial Dissimilarity Index for Marshall County, AL
White to Non-White Racial Dissimilarity Index for Mobile County, AL
White to Non-White Racial Dissimilarity Index for Monroe County, AL
White to Non-White Racial Dissimilarity Index for Montgomery County, AL
White to Non-White Racial Dissimilarity Index for Morgan County, AL
White to Non-White Racial Dissimilarity Index for Perry County, AL
White to Non-White Racial Dissimilarity Index for Pickens County, AL
White to Non-White Racial Dissimilarity Index for Pike County, AL
White to Non-White Racial Dissimilarity Index for Randolph County, AL
White to Non-White Racial Dissimilarity Index for Russell County, AL
White to Non-White Racial Dissimilarity Index for St. Clair County, AL
White to Non-White Racial Dissimilarity Index for Shelby County, AL
White to Non-White Racial Dissimilarity Index for Sumter County, AL
White to Non-White Racial Dissimilarity Index for Talladega County, AL
White to Non-White Racial Dissimilarity Index for Tallapoosa County, AL
White to Non-White Racial Dissimilarity Index for Tuscaloosa County, AL
White to Non-White Racial Dissimilarity Index for Walker County, AL
White to Non-White Racial Dissimilarity Index for Washington County, AL
White to Non-White Racial Dissimilarity Index for Wilcox County, AL
White to Non-White Racial Dissimilarity Index for Winston County, AL
White to Non-White Racial Dissimilarity Index for Aleutians East Borough, AK
White to Non-White Racial Dissimilarity Index for Aleutians West Census Area, AK
White to Non-White Racial Dissimilarity Index for Anchorage Borough/municipality, AK
White to Non-White Racial Dissimilarity Index for Bethel Census Area, AK
White to Non-White Racial Dissimilarity Index for Bristol Bay Borough, AK
White to Non-White Racial Dissimilarity Index for Denali Borough, AK
White to Non-White Racial Dissimilarity Index for Dillingham Census Area, AK
White to Non-White Racial Dissimilarity Index for Fairbanks North Star Borough, AK
White to Non-White Racial Dissimilarity Index for Haines Borough, AK
White to Non-White Racial Dissimilarity Index for Hoonah-Angoon Census Area, AK
White to Non-White Racial Dissimilarity Index for Juneau City and Borough, AK
White to Non-White Racial Dissimilarity Index for Kenai Peninsula Borough, AK
White to Non-White Racial Dissimilarity Index for Ketchikan Gateway Borough, AK
White to Non-White Racial Dissimilarity Index for Kodiak Island Borough, AK
White to Non-White Racial Dissimilarity Index for Kusilvak Census Area, AK
White to Non-White Racial Dissimilarity Index for Lake and Peninsula Borough, AK
White to Non-White Racial Dissimilarity Index for Matanuska-Susitna Borough, AK
White to Non-White Racial Dissimilarity Index for Nome Census Area, AK
White to Non-White Racial Dissimilarity Index for North Slope Borough, AK
White to Non-White Racial Dissimilarity Index for Northwest Arctic Borough, AK
